No.	Episode	Air Date	Timeslot	Rating	Share	18–49 (Rating/Share)	Viewers (m)	Rank (#)
19	" A New Hope "	March 3, 2009	Tuesday 8/7c	8.5	9	0.9/2	2.35	TBA
20	" Dirty Sexy Mongol "	March 10, 2009	Tuesday 8/7c	1.4	2	0.8/2	2.17	90
21	" The Sweet Science "	March 17, 2009	Tuesday 8/7c	1.2	2	0.9/3	1.88	TBA
22	" The Favorite "	March 24, 2009	Tuesday 8/7c	9.5	2	1.0/3	2.47	TBA
23	" I Want My Baby Back "	March 31, 2009	Tuesday 8/7c	10.0	3	1.0/3	2.37	TBA
24	" Underbelly "	April 7, 2009	Tuesday 8/7c	0.9	2	0.8/3	2.28	TBA
25	" The Good Soil "	April 14, 2009	Tuesday 8/7c	0.9	3	0.9/2	2.05	TBA
26	" The Home Stretch "	April 21, 2009	Tuesday 8/7c	1.0	3	0.9/3	2.45	TBA
27	" No Reaper Left Behind "	April 28, 2009	Tuesday 8/7c	0.7	2	0.6/2	1.82	TBA
28	" My Brother's Reaper "	May 5, 2009	Tuesday 8/7c	1.2	2	0.8/2	2.22	TBA
29	" To Sprong, With Love "	May 12, 2009	Tuesday 8/7c	1.33	2	0.9/3	1.99	TBA
30	" Business Casualty "	May 19, 2009	Tuesday 8/7c	TBA	TBA	TBA	1.79	TBA
