Game	January	Opponent	Score	Record
36	2	@ St. Louis Blues	1 - 0	14-15-7
37	4	San Jose Sharks	4 - 3	15-15-7
38	6	New Jersey Devils	5 - 2	15-16-7
39	7	@ Washington Capitals	5 - 1	15-17-7
40	10	Tampa Bay Lightning	5 - 2	16-17-7
41	13	New York Islanders	4 - 3 OT	17-17-7
42	15	Chicago Blackhawks	3 - 1	17-18-7
43	16	@ Montreal Canadiens	3 - 0	17-19-7
44	19	Ottawa Senators	2 - 1	17-20-7
45	21	Florida Panthers	2 - 1	17-21-7
46	26	@ Washington Capitals	4 - 1	18-21-7
47	28	@ Carolina Hurricanes	3 - 2 OT	18-22-7
48	30	@ Detroit Red Wings	3 - 2	19-22-7
