Team	Average	Points	Played	1987-88	1988-89	1989-90
River Plate	1.263	144	114	46	44	53
Independiente	1.211	138	114	37	55	46
Boca Juniors	1.114	127	114	35	49	43
San Lorenzo	1.106	126	114	49	42	35
Racing Club	1.114	127	114	48	40	39
Newell's Old Boys	1.088	124	114	55	33	36
Argentinos Juniors	1.053	120	114	40	42	38
Gimnasia de La Plata	1.035	118	114	43	36	39
Deportivo Español	1.026	117	114	40	46	31
Rosario Central	1.026	117	114	40	34	43
Vélez Sársfield	1.018	116	114	41	33	42
Estudiantes de La Plata	0.947	108	114	32	43	34
Unión de Santa Fe	0.947	36	38	N/A	N/A	36
Platense	0.939	107	114	38	33	36
Talleres de Córdoba	0.939	107	114	27	44	36
Textil Mandiyú	0.908	69	76	N/A	33	36
Ferro Carril Oeste	0.895	102	114	33	30	39
Chaco For Ever	0.842	32	38	N/A	N/A	32
Racing de Córdoba	0.842	96	114	31	33	32
