Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	Tampa Bay	0 – 4	NY Islanders	Denis	11,008	5–6–1
November 3	Atlanta	6 – 4	Tampa Bay	Holmqvist	19,155	5–7–1
November 5	Tampa Bay	3 – 4	Florida	Holmqvist	10,149	5–8–1
November 7	Florida	1 – 3	Tampa Bay	Holmqvist	16,526	6–8–1
November 8	Tampa Bay	5 – 1	Carolina	Holmqvist	14,017	7–8–1
November 10	Tampa Bay	5 – 2	Washington	Holmqvist	14,617	8–8–1
November 14	Carolina	1 – 6	Tampa Bay	Holmqvist	17,444	9–8–1
November 16	Washington	2 – 5	Tampa Bay	Holmqvist	19,526	10–8–1
November 19	Tampa Bay	3 – 4	Atlanta	Holmqvist	13,419	10–8–2
November 21	NY Rangers	2 – 1	Tampa Bay	Holmqvist	20,110	10–9–2
November 23	Tampa Bay	3 – 4	Carolina	Holmqvist	18,033	10–10–2
November 24	New Jersey	3 – 2	Tampa Bay	Holmqvist	19,077	10–11–2
November 28	Tampa Bay	1 – 5	Chicago	Holmqvist	11,122	10–12–2
November 29	Tampa Bay	2 – 4	Detroit	Denis	17,001	10–13–2
