Title	Series	Director	Release date	reissue?
Coal Black and de Sebben Dwarfs	MM	Bob Clampett	1943-01-16	No
Confusions of a Nutzy Spy	LT	Norm McCabe	1943-01-23	No
Pigs in a Polka	MM	Friz Freleng	1943-02-02	Yes
Tortoise Wins by a Hare	MM	Bob Clampett	1943-02-20	No
Fifth-Column Mouse, The	MM	Friz Freleng	1943-03-06	Yes
To Duck or Not to Duck	LT	Chuck Jones	1943-03-06	No
Flop Goes the Weasel	MM	Chuck Jones	1943-03-20	Yes
Hop and Go	LT	Norm McCabe	1943-03-27	No
Super-Rabbit	MM	Chuck Jones	1943-04-03	No
Unbearable Bear, The	MM	Chuck Jones	1943-04-17	Yes
Wise Quacking Duck, The	LT	Bob Clampett	1943-05-01	No
Greetings Bait	MM	Friz Freleng	1943-05-15	Yes
Tokio Jokio	LT	Norm McCabe	1943-05-15	No
Jack-Wabbit and the Beanstalk	MM	Friz Freleng	1943-06-12	No
Aristo Cat, The	MM	Chuck Jones	1943-06-19	Yes
Wackiki Wabbit	MM	Chuck Jones	1943-07-03	No
Yankee Doodle Daffy	LT	Friz Freleng	1943-07-03	No
Porky Pig's Feat	LT	Frank Tashlin	1943-07-17	No
Tin Pan Alley Cats	MM	Bob Clampett	1943-07-17	No
Scrap Happy Daffy	LT	Frank Tashlin	1943-08-21	No
Hiss and Make Up	MM	Friz Freleng	1943-09-11	Yes
Corny Concerto, A	MM	Bob Clampett	1943-09-25	No
Fin'n Catty	MM	Chuck Jones	1943-10-23	Yes
Falling Hare	MM	Bob Clampett	1943-10-30	No
Inki and the Minah Bird	MM	Chuck Jones	1943-11-13	Yes
Daffy - The Commando	LT	Friz Freleng	1943-11-20	No
Itch in Time, An	MM	Bob Clampett	1943-12-04	Yes
Puss n' Booty	LT	Frank Tashlin	1943-12-11	No
