Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Southeastern	6	14–6	.700	6	3	3	1	1
Big 12	6	7–6	.538	3	3	1	–	–
Atlantic Coast	5	7–5	.583	4	3	–	–	–
Big East	4	13–3	.813	4	3	2	2	1
Big Ten	4	6–4	.600	3	1	1	1	–
Pacific-10	4	2–4	.333	2	–	–	–	–
Conference USA	3	3–3	.500	2	1	–	–	–
Atlantic 10	3	2–3	.400	2	–	–	–	–
Sun Belt	2	4–2	.667	2	1	1	–	–
Western Athletic	2	2–2	.500	2	–	–	–	–
America East	2	0–2	–	–	–	–	–	–
Missouri Valley	2	0–2	–	–	–	–	–	–
Mountain West	2	0–2	–	–	–	–	–	–
Northeast	2	0–2	–	–	–	–	–	–
West Coast	2	0–2	–	–	–	–	–	–
Colonial	1	2–1	.667	1	1	–	–	–
Southland	1	1–1	.500	1	–	–	–	–
