Date	Name	Nationality	Tonnage (GRT)	Fate
2 August 1942	Maldonado	Uruguay	5,285	Sunk
10 August 1942	Alexia	United Kingdom	8,016	Damaged
19 August 1942	Cressington Court	United Kingdom	4,971	Sunk
31 October 1942	Alaska	Norway	5,681	Damaged
9 March 1943	George C. Meade	USA	7,176	Damaged
9 March 1943	James K. Polk	USA	7,177	Total loss
9 March 1943	James Smith	USA	7,181	Damaged
9 March 1943	James Rodman Drake	USA	7,181	Damaged
9 March 1943	Kelvinbank	United Kingdom	3,872	Sunk
9 March 1943	Mark Hanna	USA	7,176	Damaged
9 March 1943	Tabitha Brown	USA	7,176	Sunk
9 March 1943	Thomas Ruffin	USA	7,191	Total loss
8 July 1943	B. P. Newton	Norway	10,324	Sunk
8 July 1943	Eldena	USA	6,900	Sunk
8 July 1943	Everagra	Latvia	3,702	Damaged
10 July 1943	Scandinavia	Sweden	1,641	Sunk
22 February 1944	E. G. Seubert	USA	9,181	Sunk
22 February 1944	Erling Brøving	Norway	9,970	Total loss
22 February 1944	San Alvaro	United Kingdom	7,385	Sunk
7 March 1944	Tarifa	Norway	7,299	Sunk
7 March 1944	John A. Poor	USA	7,176	Sunk
27 March 1944	HMS Maaløy	United Kingdom	249	Sunk
23 February 1945	SS Point Pleasant Park	Canada	7,136	Sunk
