-	1994 general	1995 regional	1996 general	1999 European	2000 regional	2001 general	2004 European	2005 regional	2006 general	2008 general	2009 European	2010 regional	2013 general
Piedmont	with FI	3.0	4.4	3.3	4.5	3.5	5.0	4.6	6.2	5.2	6.1	3.9	1.2
Lombardy	with FI	2.2	4.6	3.5	4.1	3.4	3.6	3.8	5.9	4.3	5.0	3.8	1.1
Veneto	with FI	3.6	5.4	5.4	6.8	5.0	5.0	6.4	7.8	5.6	6.4	4.9	1.7
Emilia-Romagna	with FI	4.8	4.8	2.7	3.7	3.4	2.8	3.9	5.8	4.3	4.7	3.8	1.1
Tuscany	with FI	2.5	4.8	3.2	4.2	3.3	3.3	3.7	5.9	4.2	4.6	4.8	1.1
Lazio	with FI	4.2	4.7	4.8	6.7	4.8	7.1	7.8	6.9	4.8	5.5	6.1	1.5
Campania	with FI	9.7	8.0	6.8	8.5	7.5	7.0	6.7	6.8	6.5	8.7	9.4	3.6
Apulia	with FI	5.6	7.6	6.0	6.2	6.8	8.1	7.8	7.8	7.9	9.1	6.5	2.0
Calabria	with FI	9.0	9.0	9.4	13.3	9.5	9.6	10.4	7.7	8.2	9.3	9.4	4.1
Sicily	with FI	19.0 (1996)	8.1	7.9	24.3 (2001)	14.4	14.0	18.7 (2006)	10.0	9.4	11.9	12.5 (2008)	2.8
