Date	Ship	Nationality	Tonnage	Fate
16 May 1941	Llangibby Castle	Great Britain	11,951	Damaged
13 April 1942	Empire Progress	Great Britain	5,249	Sunk
30 April 1942	Ashkhabad	Soviet Union	5,284	Sunk
2 May 1942	USS Cythera	USA	602	Sunk
2 November 1942	Dalcroy	Great Britain	4,558	Sunk
2 November 1942	Empire Antelope	Great Britain	4,945	Sunk
2 November 1942	Empire Leopard	Great Britain	5,676	Sunk
2 November 1942	Empire Sunrise	Great Britain	7,459	Damaged
2 November 1942	Rinos	Greece	4,649	Sunk
7 February 1942	Afrika	Great Britain	8,597	Sunk
7 February 1942	Daghild	Norway	9,272	Damaged
7 February 1942	Henry R. Mallory	USA	6,063	Sunk
7 February 1942	Kalliopi	Greece	4,695	Sunk
7 February 1942	Robert E. Hopkins	Great Britain	6,625	Sunk
7 February 1942	Toward	Great Britain	1,571	Sunk
8 February 1942	Newton Ash	Great Britain	1,571	Sunk
11 May 1943	Antigone	Great Britain	4,545	Sunk
11 May 1943	Grado	Norway	3,082	Sunk
