Country	Men's Open	Women's Open	Men's Wheelchair	Women's Wheelchair	Total
United States	44	15	12	25	96
Kenya	20	10	0	0	30
Canada	16	1	4	0	21
Japan	8	0	3	5	16
Switzerland	0	0	7	2	9
South Africa	0	0	9	0	9
Ethiopia	4	4	0	0	8
Finland	7	0	0	0	7
Germany	1	5	0	0	6
Australia	1	0	0	4	5
Russia	0	4	0	0	4
France	0	0	3	0	3
New Zealand	1	2	0	0	3
Portugal	0	3	0	0	3
South Korea	3	0	0	0	3
United Kingdom	3	0	0	0	3
Belgium	2	0	0	0	2
Norway	0	2	0	0	2
Colombia	1	0	0	0	1
Denmark	0	0	0	1	1
Greece	1	0	0	0	1
Guatemala	1	0	0	0	1
Ireland	1	0	0	0	1
Italy	1	0	0	0	1
Poland	0	1	0	0	1
Sweden	1	0	0	0	1
Yugoslavia	1	0	0	0	1
