Game	Date	Opponent	Score	Location	Record
73	Tue. Apr. 2	@ New Jersey Nets	94-77	Brendan Byrne Arena	53-20
74	Thu. Apr. 4	New Jersey Nets	123-104	Boston Garden	54-20
75	Sat. Apr. 6	@ Orlando Magic	98-102	Orlando Arena	54-21
76	Thu. Apr. 11	@ Milwaukee Bucks	92-111	Bradley Center	54-22
77	Fri. Apr. 12	Miami Heat	119-109	Boston Garden	55-22
78	Sun. Apr. 14	New York Knicks	115-102	Boston Garden	56-22
79	Tue. Apr. 16	@ Detroit Pistons	90-118	The Palace of Auburn Hills	56-23
80	Thu. Apr. 18	@ Philadelphia 76ers	97-122	The Spectrum	56-24
81	Fri. Apr. 19	@ Cleveland Cavaliers	117-124 (OT)	Richfield Coliseum	56-25
82	Sun. Apr. 21	Atlanta Hawks	105-117	Boston Garden	56-26
