Date	Opponent#	Site	Result	Attendance
September 21, 1968	Oklahoma State	War Memorial Stadium • Little Rock, AR	W32–15	53,307
September 28, 1968	Tulsa	Razorback Stadium • Fayetteville, AR	W56–13	41,712
October 5, 1968	at TCU	Amon G. Carter Stadium • Fort Worth, TX	W17–7	41,126
October 12, 1968	Baylor	Razorback Stadium • Fayetteville, AR	W35–19	41,429
October 19, 1968	at 17 Texas	Memorial Stadium • Austin, TX	L29–39	66,397
October 26, 1968	North Texas	War Memorial Stadium • Little Rock, AR	W17–15	45,802
November 2, 1968	at Texas A&M	Kyle Field • College Station, TX ( Rivalry )	W25–22	41,925
November 9, 1968	Rice	Razorback Stadium • Fayetteville, AR	W46–21	43,817
November 16, 1968	SMU	War Memorial Stadium • Little Rock, AR	W35–29	49,112
November 23, 1968	at Texas Tech	Jones Stadium • Lubbock, TX	W42–7	48,165
January 1, 1969	vs. 4 Georgia	Tulane Stadium • New Orleans, LA ( Sugar Bowl )	W16–2	82,113
*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .
