Date	Opponent	Venue	Result	Attendance
11 Aug	Stoke City	H	L 0 - 1	18,840
18 Aug	Queens Park Rangers	A	W 2 - 0	12,596
25 Aug	Coventry City	H	L 0 - 1	16,407
1 Sep	Norwich City	A	W 2 - 1	24,292
15 Sep	Plymouth Argyle	A	D 2 - 2	11,591
19 Sep	Watford	H	L 1 - 2	13,169
22 Sep	Preston North End	H	D 2 - 2	11,772
29 Sep	Barnsley	A	D 1 - 1	10,709
2 Oct	Sheffield United	A	D 3 - 3	26,186
6 Oct	Burnley	H	W 2- 1	12,914
21 Oct	Southampton	A	L 0 - 1	20,796
24 Oct	Wolverhampton Wanderers	H	L 2 - 3	15,000
27 Oct	Scunthorpe United	H	D 1 - 1	11,850
6 Nov	Crystal Palace	H	D 1 - 1	11,781
10 Nov	Charlton Athletic	A	L 0 - 3	22,866
24 Nov	Ipswich Town	H	W 1 - 0	15,173
26 Nov	Leicester City	A	D 0 - 0	16,269
1 Dec	Hull City	A	D 2 - 2	16,269
4 Dec	Charlton Athletic	H	L 0 - 2	11,874
8 Dec	Colchester United	H	W 4 - 1	11,006
11 Dec	Blackpool	A	W 1 - 0	7,214
15 Dec	Bristol City	A	L 0 - 1	15,753
22 Dec	Sheffield United	H	W 1 - 0	12,869
26 Dec	Watford	A	D 2 - 2	17,014
29 Dec	Preston North End	A	W 2 - 1	12,046
1 Jan	Plymouth Argyle	H	W 1 - 0	14,965
12 Jan	Sheffield Wednesday	H	W 1 - 0	14,015
19 Jan	West Bromwich Albion	A	D 3 - 3	22,325
29 Jan	Queens Park Rangers	H	W 3 - 1	13,602
2 Feb	Stoke City	A	L 1 - 2	15,045
9 Feb	Norwich City	H	L 1 - 2	11,937
12 Feb	Coventry City	A	D 0 - 0	15,260
23 Feb	Sheffield Wednesday	A	L 0 - 1	18,539
1 Mar	Leicester City	H	L 0 - 1	13,335
4 Mar	Crystal Palace	A	D 0 - 0	13,446
12 Mar	Hull City	H	W 1 - 0	17,555
15 Mar	Colchester United	A	D 1 - 1	4,699
22 Mar	Bristol City	H	W 2 - 1	16,458
29 Mar	Southampton	H	W 1 - 0	12,955
1 Apr	West Bromwich Albion	H	D 0 - 0	13,915
9 Apr	Ipswich Town	A	D 1 - 1	20,311
12 Apr	Blackpool	H	W 3 - 1	14,715
19 Apr	Scunthorpe United	A	L 2 - 3	4,727
22 Apr	Wolverhampton Wanderers	A	L 0 - 3	20,862
26 Apr	Burnley	A	D 3 - 3	10,694
4 May	Barnsley	H	W 3 - 0	14,469
