Name	Championship	League Cup	FA Cup	Total
Leon Best Category:Articles with hCards	10	1	0	11
Michael Doyle Category:Articles with hCards	7	0	1	8
Elliott Ward Category:Articles with hCards	7	0	0	7
Stephen Hughes Category:Articles with hCards	7	0	0	7
Isaac Osbourne Category:Articles with hCards	5	1	0	6
Arjan De Zeeuw Category:Articles with hCards	6	0	0	6
Daniel Fox Category:Articles with hCards	5	0	0	5
Jay Tabb Category:Articles with hCards	4	0	0	4
Michael Mifsud Category:Articles with hCards	4	0	0	4
Robbie Simpson Category:Articles with hCards	3	0	0	3
David McNamee Category:Articles with hCards	3	0	0	3
Kevin Kyle Category:Articles with hCards	3	0	0	3
Scott Dann Category:Articles with hCards	3	0	0	3
Gary Borrowdale Category:Articles with hCards	3	0	0	3
Dele Adebola Category:Articles with hCards	2	1	0	3
Kevin Thornton Category:Articles with hCards	2	0	0	2
Michael Hughes Category:Articles with hCards	2	0	0	2
Liam Davis Category:Articles with hCards	2	0	0	2
Ellery Cairo Category:Articles with hCards	2	0	0	2
Ben Turner Category:Articles with hCards	2	0	0	2
Leon McKenzie Category:Articles with hCards	1	0	0	1
Marcus Hall Category:Articles with hCards	1	0	0	1
Julian Gray Category:Articles with hCards	0	0	1	1
Richard Duffy Category:Articles with hCards	1	0	0	1
