Week	Date	Opponent	Result	Attendance
1	September 28, 1958	at Los Angeles Rams	W 30–27	69,993
2	October 5, 1958	at Pittsburgh Steelers	W 45–12	31,130
3	October 12, 1958	Chicago Cardinals	W 35–28	65,403
4	October 19, 1958	Pittsburgh Steelers	W 27–10	66,852
5	October 26, 1958	at Chicago Cardinals	W 38–24	30,933
6	November 2, 1958	New York Giants	L 21–17	78,404
7	November 9, 1958	Detroit Lions	L 30–10	75,563
8	November 16, 1958	at Washington Redskins	W 20–10	32,372
9	November 23, 1958	Philadelphia Eagles	W 28–14	51,319
10	November 30, 1958	Washington Redskins	W 21–14	33,240
11	December 7, 1958	at Philadelphia Eagles	W 21–14	36,773
12	December 14, 1958	at New York Giants	L 13–10	63,192
