Season	UEFA Season	Coeff	Ranking	Champions	Runner-up	3rd place	Cup winner	Cup runner-up
2001	2002-03	0.500	52	Astana-64 (Zhenis)	Atyrau	Tobol 1	Kairat	Astana-64
2002	2003-04	0.167	50	Irtysh	Atyrau	Tobol	Astana-64 (Zhenis)	Irtysh
2003 2	2004-05	0.000	50	Irtysh	Tobol	Astana-64 (Zhenis)	Kairat	Tobol
2004 3	2005-06	1.000	50	Kairat	Irtysh	Tobol	Taraz	Kairat
2005	2006-07	0.667	49	Aktobe	Tobol	Kairat	Astana-64 (Zhenis) 4	Kairat
2006	2007-08	0.750	45	Astana-64 (Astana)	Aktobe	Tobol	Almaty	Astana-64
2007	2008-09	0.833	45	Aktobe	Tobol	Shakhter	Tobol	Ordabasy
2008 5	2009-10	1.125	44	Aktobe	Tobol	Irtysh	Aktobe	Almaty
2009	2010-11	0.875	42	Aktobe	Astana (Lokomotiv) 4	Shakhter	Atyrau	Shakhter
2010	2011-12	1.625	41	Tobol	Aktobe	Irtysh	Astana (Lokomotiv) 4	Shakhter
2011	2012-13	1.375	40	Shakhter	Zhetysu	Aktobe	Ordabasy	Tobol
2012	2013-14	Ongoing	38	Shakhter	Irtysh	Aktobe	Astana	Irtysh
