Doubles	Player	Team	Year	Years Record Stood
21	Ross Barnes	Chicago White Stockings	1876	2
21	Dick Higham	Hartford Dark Blues	1876	2
21	Paul Hines	Chicago White Stockings	1876	2
22	Dick Higham	Providence Grays	1878	1
31	Charlie Eden	Cleveland Blues	1879	3
37	King Kelly	Chicago White Stockings	1882	1
49	Ned Williamson	Chicago White Stockings	1883	4
52	Tip O'Neill	St. Louis Browns (AA)	1887	12
55	Ed Delahanty	Philadelphia Phillies	1899	24
48	Napoleon Lajoie	Philadelphia Athletics	1901	(3)
49	Napoleon Lajoie	Cleveland Bronchos	1904	(6)
51	Napoleon Lajoie	Cleveland Bronchos	1910	(2)
53	Tris Speaker	Boston Red Sox	1912	(11)
59	Tris Speaker	Cleveland Indians	1923	3
64	George H. Burns	Cleveland Indians	1926	5
67	Earl Webb	Boston Red Sox	1931	current
