Battle	Date	Bulgarian Commander	Byzantine Commander	Result
Battle of Ongal	680	Asparukh	Constantine IV	Bulgarian victory
Battle of Anchialus	708	Tervel	Justinian II	Bulgarian victory
Battle of Marcellae	756	Vinekh	Constantine V	Byzantine victory
Battle of the Rishki Pass	759	Vinekh	Constantine V	Bulgarian victory
Battle of Anchialus	30 June 763	Telets	Constantine V	Byzantine victory
Battle of Berzitia	October 774	Unknown	Unknown	Byzantine victory
Battle of Marcellae	792	Kardam	Constantine VI	Bulgarian victory
Siege of Serdica	Spring 809	Krum	Unknown	Bulgarian victory
Battle of Pliska	26 July 811	Krum	Nicephorus I	Bulgarian victory
Battle of Versinikia	22 June 813	Krum	Michael I Rangabe	Bulgarian victory
Siege of Adrianople	813	Krum	Unknown	Bulgarian victory
Battle of Boulgarophygon	Summer 896	Simeon I	Unknown	Bulgarian victory
Battle of Anchialus	20 August 917	Simeon I	Leo Phokas	Bulgarian victory
Battle of Katasyrtai	August 917	Simeon I	Leo Phokas	Bulgarian victory
Battle of Pegae	March 922	Theodore Sigritsa	Pothos Argyros	Bulgarian victory
Battle of the Gates of Trajan	16 July 986	Samuil	Basil II	Bulgarian victory
Battle of Salonica	Summer 996	Samuil	Gregory Taronites	Bulgarian victory
Battle of Spercheios	16 July 996	Samuil	Nikephoros Ouranos	Byzantine victory
Battle of Skopie	1004	Samuil	Basil II	Byzantine victory
Battle of Kreta	1009	Samuil	Basil II	Byzantine victory
Battle of Thessalonica	July 1014	Nestoritsa	Theophylact Botaneiates	Byzantine victory
Battle of Kleidion	29 July 1014	Samuil	Basil II	Byzantine victory
Battle of Strumitsa	August 1014	Gavril Radomir	Theophylact Botaneiates	Bulgarian victory
Battle of Bitola	Autumn 1015	Ivats	George Gonitsiates	Bulgarian victory
Battle of Setina	Autumn 1017	Ivan Vladislav	Basil II	Byzantine victory
Battle of Dyrrhachium	February, 1018	Ivan Vladislav	Niketas Pegonites	Byzantine victory
Battle of Thessalonica	1040	Peter II Delyan	Michael IV	Bulgarian victory
Battle of Thessalonica	Autumn 1040	Alusian	Unknown	Byzantine victory
Battle of Ostrovo	1041	Peter II Delyan	Michael IV	Byzantine victory
Siege of Lovech	Spring 1190	Unknown	Isaac II Angelos	Bulgarian victory
Battle of Tryavna	Spring 1190	Ivan Asen I	Isaac II Angelos	Bulgarian victory
Battle of Arcadiopolis	1194	Ivan Asen I	Basil Vatatzes	Bulgarian victory
Battle of Serres	1196	Ivan Asen I	Isaac	Bulgarian victory
Siege of Varna	21–24 March 1201	Kaloyan	Unknown	Bulgarian victory
Battle of Klokotnitsa	9 March 1230	Ivan Asen II	Theodore Komnenos	Bulgarian victory
Battle of Adrianople	1254	Unknown	Unknown	Byzantine victory
Battle of Devina	17 July 1279	Ivailo	Murin	Bulgarian victory
Battle of Skafida	1304	Theodore Svetoslav	Michael IX	Bulgarian victory
Battle of Rusokastro	18 July 1332	Ivan Alexander	Andronikos III	Bulgarian victory
