Date	Ship	Type	Nationality	Tonnage GRT
11 Jan 16	Corbridge	Cargo ship	United Kingdom	3,687
11 Jan 16	Farringford	Cargo ship	United Kingdom	3,146
13 Jan 16	Dromonby	Cargo ship	United Kingdom	3,627
13 Jan 16	Author	Cargo ship	United Kingdom	3,496
13 Jan 16	Trader	Cargo ship	United Kingdom	3,608
15 Jan 16	Ariadne	Cargo ship	United Kingdom	3,035
15 Jan 16	Appam	Cargo ship	United Kingdom	7,781
16 Jan 16	Clan McTavish	Cargo ship	United Kingdom	5,816
22 Jan 16	Edinburgh	Sailing ship	United Kingdom	1,473
4 Feb 16	Luxembourg	Cargo ship	United Kingdom	4,322
6 Feb 16	Flamenco	Cargo ship	United Kingdom	4,540
8 Feb 16	Westburn	Cargo ship	United Kingdom	3,300
9 Feb 16	Horace	Cargo ship	United Kingdom	3,109
24 Feb 16	Maroni	Cargo ship	France	3,109
25 Feb 16	Saxon Prince	Cargo ship	United Kingdom	3,471
