Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1957 (30th)	Amina	Amina (阿美娜)	Yuan Congmei	Not Nominated
1964 (37th)	Lovers' Rock	Qíngrén shí (情人石)	Pan Lei	Not Nominated
1966 (39th)	The Silent Wife	Yǎnǚ qíngxīn (啞女情深)	Lee Hsing	Not Nominated
1972 (45th)	Execution in Autumn	Qiūjué (秋決)	Lee Hsing	Not Nominated
1976 (49th)	The 800 Heroes	Bābǎi zhuàngshì (八百壯士)	Ting Shan-si	Not Nominated
1980 (53rd)	The Legend of the Six Dynasty	Liùcháo guàitán (六朝怪談)	Wong Guk-gam	Not Nominated
1981 (54th)	If I Were for Real	Jiǎrú wǒshì zhēnde (假如我是真的)	Wang Toon	Not Nominated
1982 (55th)	The Battle for the Republic of China	Xīnhài shuāngshí (辛亥雙十)	Ting Shan-si	Not Nominated
1983 (56th)	Growing Up	Xiǎo Bì de gùshì (小畢的故事)	Chen Kunhou	Not Nominated
1984 (55th)	Old Mo's Second Spring	Lǎo Mò de dì èr ge chūntiān (老莫的第二個春天)	Lee You-ning	Not Nominated
1985 (58th)	Kuei-Mei, A Woman	Wǒ zhèyàng guòle yìshēng (我這樣過了一生)	Chang Yi	Not Nominated
1986 (59th)	The Heroic Pioneers	Tángshān guò Táiwān (唐山過台灣)	Lee Shing	Not Nominated
1987 (60th)	Osmanthus Alley	Guìhuā xiàng (桂花巷)	Chen Kunhou	Not Nominated
1988 (61st)	My Mother's Teahouse	Chūnqiū cháshì (春秋茶室)	Chen Kunhou	Not Nominated
1989 (62nd)	A City of Sadness	Bēiqíng chéngshì (悲情城市)	Hou Hsiao-hsien	Not Nominated
1990 (63rd)	Song of the Exile	Kètú qiūhèn (客途秋恨)	Ann Hui Category:Articles with hCards	Not Nominated
1991 (64th)	A Brighter Summer Day	Gúlǐngjiē shàonián shārén shìjiàn (牯嶺街少年殺人事件)	Edward Yang Category:Articles with hCards	Not Nominated
1992 (65th)	Peach Blossom Land	Ànliàn táohuāyuán (暗戀桃花源)	Stan Lai Category:Articles with hCards	Not Nominated
1993 (66th)	The Wedding Banquet	Xǐyàn (喜宴)	Ang Lee Category:Articles with hCards	Nominee
1994 (67th)	Eat Drink Man Woman	Yǐnshí nánnǚ (飲食男女)	Ang Lee Category:Articles with hCards	Nominee
1995 (68th)	Super Citizen Ko	Chāojí dàguómín (超級大國民)	Wan Jen	Not Nominated
1996 (69th)	Tonight Nobody Goes Home	Jīntiān bùhuíjiā (今天不回家)	Sylvia Chang Category:Articles with hCards	Not Nominated
1997 (70th)	Yours and Mine	Wǒde shénjīngbìng (我的神經病)	Wang Siu-di	Not Nominated
1998 (71st)	Flowers of Shanghai	Hāi shàng huā (海上花)	Hou Hsiao-Hsien	Not Nominated
1999 (72nd)	March of Happiness	Tiānmǎ cháfáng (天馬茶房)	Lin Cheng-sheng	Not Nominated
2000 (73rd)	Crouching Tiger, Hidden Dragon	Wòhǔ cánglóng (臥虎藏龍)	Ang Lee Category:Articles with hCards	Won Academy Award
2001 (74th)	The Cabbie	Yùnzhuǎnshǒu zhī liàn (運轉手之戀)	Chen Yiwen , Huakun Zhang	Not Nominated
2002 (75th)	The Best of Times	Měilì shíguāng (美麗時光)	Chang Tso-chi	Not Nominated
2003 (76th)	Goodbye, Dragon Inn	Búsàn (不散)	Tsai Ming-Liang	Not Nominated
2004 (77th)	20 30 40	20 30 40	Sylvia Chang Category:Articles with hCards	Not Nominated
2005 (78th)	The Wayward Cloud	Tiānbiān yìduǒyún (天邊一朵雲)	Tsai Ming-Liang	Not Nominated
2006 (79th)	Blue Cha Cha	Shēnhǎi (深海)	Chen Wen-Tang	Not Nominated
2007 (80th)	Island Etude	Liànxíqǔ (練習曲)	Chen Huai-en	Not Nominated
2008 (81st)	Cape No. 7	Háijiǎo qīhào (海角七號)	Wei Te-Sheng	Not Nominated
2009 (82nd)	No Puedo Vivir Sin Ti	Bùnéng méiyǒu nǐ (不能沒有你)	Leon Dai	Not Nominated
2010 (83rd)	Monga	Báng-kah (艋舺)	Doze Niu	Not Nominated
2011 (84th)	Warriors of the Rainbow: Seediq Bale	Sài Dé Kè．Ba Lái (賽德克‧巴萊)	Wei Te-Sheng	Made January Shortlist
2012 (85th)	Touch of the Light	逆光飛翔	Chang Rong-ji	Not Nominated
