Place	Player	Country	Score	To par	Money ( $ )
1	Nick Faldo	England	69-67-73-67=276	–12	450,000
2	Greg Norman	Australia	63-69-71-78=281	–7	270,000
3	Phil Mickelson	United States	65-73-72-72=282	–6	170,000
4	Frank Nobilo	New Zealand	71-71-72-69=283	–5	120,000
T5	Scott Hoch	United States	67-73-73-71=284	–4	95,000
T5	Duffy Waldorf	United States	72-71-69-72=284	–4	95,000
T7	Davis Love III	United States	72-71-74-68=285	–3	77,933
T7	Jeff Maggert	United States	71-73-72-69=285	–3	77,933
T7	Corey Pavin	United States	75-66-73-71=285	–3	77,933
T10	David Frost	South Africa	70-68-74-74=286	–2	65,000
T10	Scott McCarron	United States	70-70-72-74=286	–2	65,000
