Series #	Season #	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
71	1	"Showdown"(Part 2)	John F. Showalter	David Amann	September29,2005	20.98
72	2	"Safe"	Jeannot Szwarc	David Grae	October6,2005	21.25
73	3	"From the Ashes"	Timothy Busfield	Gwendolyn Parker	October13,2005	20.55
74	4	"Lost Time"	Martha Mitchell	David H. Goodman	October20,2005	19.82
75	5	"Honor Bound"	Ken Collins	Amantha Segel Marks	October27,2005	21.75
76	6	"Viuda Negra"	Paul McCrane	Scott A. Williams	November3,2005	20.44
77	7	"The Innocents"	Martha Mitchell	Jan Nash	November10,2005	20.78
78	8	"A Day in the Life"	Jeannot Szwarc	Hank Steinberg	November17,2005	21.66
79	9	"Freefall"	John F. Showalter	David Mongan	November24,2005	19.50
80	10	"When Darkness Falls"	Jeff T. Thomas	Hank Steinberg, Diego Gutierrez	December8,2005	21.76
81	11	"Blood Out"	Scott White	Gwendolyn M. Parker	January5,2006	20.94
82	12	"Patient X"	Timothy Busfield	David Amann	January19,2006	23.12
83	13	"Rage"	Kate Woods	Scott A. Williams	January26,2006	22.30
84	14	"Odds or Evens"	Martha Mitchell	David H. Goodman	February2,2006	20.80
85	15	"The Stranger"	John F. Showalter	Jan Nash	February9,2006	20.34
86	16	"The Little Things"	David Grae	John Pulsan	March2,2006	19.78
87	17	"Check Your Head"	Timothy Busfield	Diego Gutierrez	March9,2006	20.28
88	18	"The Road Home"	Chad Lowe	David Mongan	March30,2006	18.48
89	19	"Expectations"	Rosemary Rodriguez	David Rapp	April13,2006	18.62
90	20	"More Than This"	Timothy Busfield	Scott A. Williams	April20,2006	16.93
91	21	"Shattered"	Jeannot Szwarc	Amanda Segel Marks, David H. Goodman	April27,2006	17.93
92	22	"Requiem"	John F. Showalter	Jan Nash	May4,2006	19.11
93	23	"White Balance"	Jeff T. Thomas	Greg Walker	May11,2006	19.19
