Title	Label	Year of Release	Country of Release	Peaches:
For Your Love	Date	1967	USA	Francine Barker
Let's Fall in Love	Date	1967	USA	Francine Barker
Peaches & Herb	MCA	1977	USA	Linda Greene
2 Hot	MVP / Polydor	1978	USA	Linda Greene
Twice the Fire	MVP / Polydor	1979	USA	Linda Greene
Demasiado Candente	MVP / Polydor	1979	Argentina	Linda Greene
Worth the Wait	MVP / Polydor	1980	USA	Linda Greene
Sayin' Something	MVP / Polydor	1981	USA	Linda Greene
Remember	The Entertainment Co. / Columbia	1983	USA	Linda Greene
Colors of Love	Imagen	2009	USA	Meritxell Negre
