City of license	Identifier	Frequency	Power	Class	RECNet
Attawapiskat	CBCA-FM	101.5 FM	34 s watt	A1	Query
Britt	CBEZ-FM	107.7 FM	49 watts	LP	Query
Chapleau	CBCU-FM	89.9 FM	345 watts	A	Query
Elk Lake	CBCG-FM	89.7 FM	8 watts	LP	Query
Elliot Lake	CBEC-FM	90.3	264 watts	A	Query
Foleyet	CBLF	1450 AM	40 watts	LP	Query
Fort Albany	CBCI-FM	102.3 FM	2,400 watts	A	Query
Hearst	CBCC-FM	91.9 FM	8,340 watts	B1	Query
Kapuskasing	CBOK-FM	105.1 FM	43,900 watts	B	Query
Kirkland Lake	CBCR-FM	90.3 FM	2,650 watts	A	Query
Little Current	CBCE-FM	97.5 FM	21,000 watts	B	Query
Mattawa	CBLO	1240 AM	40 watts	LP	Query
Moosonee	CBEY	1340 AM	40 watts	LP	Query
North Bay	CBCN-FM	96.1 FM	100,000 watts	C	Query
Sault Ste. Marie	CBSM-FM	89.5 FM	46,000 watts	B	Query
Temagami	CBEU	1340 AM	40 watts	LP	Query
Temiskaming Shores	CBCY-FM	102.3 FM	780 watts	A	Query
Timmins	CBCJ-FM	96.1 FM	44,800 watts	B	Query
Wawa	CBLJ-FM	88.3 FM	50,000 watts	B	Query
