Club	City	Sport	League	Venue
Dixie Derby Girls	Huntsville	Roller derby	Women's Flat Track Derby Association ( WFTDA )	Von Braun Center
Birmingham Blitz	Birmingham	Basketball	Continental Basketball League	Altamont School Gym
Marvel City Tigers	Bessemer	Football	Gridiron Development Football League	Snitz Snider Stadium
Birmingham Barons	Birmingham	Baseball	Southern League	Regions Park
Birmingham Black Widows	Birmingham	Football	Womens Indoor Football League	Venue Unknown
Huntsville Stars	Huntsville	Baseball	Southern League	Joe W. Davis Stadium
Mobile BayBears	Mobile	Baseball	Southern League	Hank Aaron Stadium
Montgomery Biscuits	Montgomery	Baseball	Southern League	Montgomery Riverwalk Stadium
Tennessee Valley Tigers	Huntsville	Football	Independent Women's Football League	Milton Frank Stadium
Huntsville Rockets Semi-Pro Football	Huntsville	Football	National Developmental Football League	Milton Frank Stadium
Huntsville Havoc	Huntsville	Ice Hockey	Southern Professional Hockey League	Von Braun Center
Alabama Hammers	Huntsville	Indoor football	Southern Indoor Football League	Von Braun Center
Rocket City United	Madison	Soccer	National Premier Soccer League	Madison City Schools Stadium
