School	Location	Total	Crimean War	Persian War	Indian Mutiny	1860-1878	Zulu War	Second Afghan War
Eton College	United Kingdom	37	4	0	3	1	2	0
Harrow School	United Kingdom	20	3	0	0	2	1	0
Haileybury	United Kingdom	17	0	1	3	0	1	0
Wellington College	United Kingdom	15	0	0	0	0	1	0
Cheltenham College	United Kingdom	14	0	0	2	2	1	1
Marlborough College	United Kingdom	13	0	0	3	0	0	1
Edinburgh Academy	United Kingdom	9	0	0	3	1	0	1
Clifton College	United Kingdom	8	0	0	0	0	0	0
Dulwich College	United Kingdom	7	0	0	0	0	0	0
Stonyhurst College	United Kingdom	7	0	0	0	0	0	0
Westminster School	United Kingdom	7	0	0	1	1	0	0
Winchester College	United Kingdom	6	0	0	1	0	0	0
Bromsgrove School	United Kingdom	5	0	0	0	0	0	1
King's College School	United Kingdom	5	0	0	3	1	0	0
Sherborne School	United Kingdom	5	1	0	0	0	0	1
Uppingham School	United Kingdom	5	0	0	0	0	0	0
Victoria College	Jersey	5	0	0	0	2	0	1
Sedbergh School	United Kingdom	4	0	0	0	0	0	0
Elizabeth College Elizabeth College, Guernsey	Guernsey	4	0	0	1	0	0	0
Bedford School	United Kingdom	4	0	0	0	0	0	0
Clongowes Wood College	Ireland	4	1	0	0	0	0	0
Fettes College	United Kingdom	4	0	0	0	0	0	0
Liverpool College	United Kingdom	4	0	0	1	0	0	||0||||0||3||0||0||0
Charterhouse School	United Kingdom	3	0	0	0	0	0	0
Christ's Hospital	United Kingdom	3	0	0	0	1	0	0
Framlingham College	United Kingdom	3	0	0	0	0	0	0
King William's College	Isle of Man	3	0	0	0	0	0	1
Merchant Taylors' School	United Kingdom	3	0	0	0	0	0	0
Oundle School	United Kingdom	3	0	0	0	0	0	0
Royal High School	United Kingdom	3	0	0	0	0	0	0
St. Bees School	United Kingdom	3	0	0	0	0	0	0
St. Paul's School	United Kingdom	3	0	0	0	0	0	0
The King's School	United Kingdom Canterbury , United Kingdom	3	0	0	0	0	0	1
The Portsmouth Grammar School	United Kingdom	3	0	0	0	0	0	0
