Year	Chassis	Engine	Start	Finish	Team
1985	March 85C	Ford Cosworth DFX	23	18	Simon
1986	Lola T86/00	Ford Cosworth DFX	22	13	Simon
1988	Lola T88/00	Ford Cosworth DFX	20	7	Shierson
1989	Lola T89/00	Judd	9	3	Shierson
1990	Lola T89/00	Judd	17	28	Truesports
1992	Lola T92/00	Chevrolet 265A	27	7	Simon
1993	Lola T93/00	Ford XB	3	4	Simon
1994	Lola T94/00	Ford XB	2	21	Simon
1995	Lola T95/00	Mercedes-Benz IC108B	22	20	Rahal/Hogan
1998	G-Force	Oldsmobile	30	19	McCormack
1999	Riley & Scott	Oldsmobile	33	12	Brant
2000	G-Force	Oldsmobile	24	16	Treadway
2001	G-Force	Oldsmobile	Raced by F. Giaffone	Raced by F. Giaffone	Treadway
2002	Dallara	Chevrolet	3	21	Menard
