Team	Matches	Wins	Wins %	Draws	Draws %	Loses	Loses %	Against
Al-Ain	2	1	50%	1	50%	0	0%	2
Al-Ansar	3	2	75%	1	25%	0	0%	0
Al-Arabi	2	0	0%	1	50%	1	50%	3
Al-Gharafa	2	1	50%	0	0%	1	50%	5
Al-Hilal	6	3	50%	2	33.33%	1	16.66%	5
Al-Ittihad	5	2	40%	1	20%	2	40%	6
Al-Nassr	1	0	0%	0	0%	1	100%	3
Al-Rayyan	1	1	100%	0	0%	0	0%	1
Al-Salmiya	2	1	50%	0	0%	1	50%	2
Al-Shabab	2	1	50%	1	50%	0	0%	0
Al-Shorta	1	0	0%	1	100%	0	0%	0
Al-Talaba	1	1	100%	0	0%	0	0%	0
Al-Wahda	2	0	0%	1	50%	1	50%	2
Al-Wakra	2	2	100%	0	0%	0	0%	3
Al-Zawraa	4	3	75%	1	25%	0	0%	2
Bani Yas	2	1	50%	1	50%	0	0%	2
Bunyodkor	3	0	0%	1	33.33%	2	66.66%	4
Daewoo Royals	0	0	0%	0	0%	0	0%	0
Dalian Wanda	1	0	0%	0	0%	1	100%	2
Fanja	2	1	50%	1	50%	0	0%	0
Irtysh	3	2	75%	1	25%	0	0%	0
Júbilo Iwata	1	0	0%	0	0%	1	100%	2
Kopetdag Asgabat	2	1	50%	1	50%	0	0%	0
Kowloon Motor Bus Co.	1	1	100%	0	0%	0	0%	0
Maccabi	1	0	0%	1	100%	0	0%	0
Mohammedan	1	0	0%	0	0%	1	100%	2
Muharraq	2	1	50%	1	50%	0	0%	0
Navbahor Namangan	1	0	0%	1	100%	0	0%	1
Nisa Asgabat	1	1	100%	0	0%	0	0%	1
Nissan	2	0	0%	1	50%	1	50%	2
Pakhtakor Tashkent	1	0	0%	0	0%	1	100%	1
Perak FA	1	1	100%	0	0%	0	0%	2
Pohang Steelers	1	0	0%	0	0%	1	100%	3
Punjab Medical College FC	2	2	100%	0	0%	0	0%	2
Saunders SC	1	1	100%	0	0%	0	0%	0
Sharjah	1	1	100%	0	0%	0	0%	1
Suwon Samsung Bluewings	2	1	50%	0	0%	1	50%	2
Toyo Kogyo	1	0	0%	0	0%	1	100%	1
Yelimay Semipalatinsk	2	1	50%	0	0%	1	50%	3
Total	71	33	46.47%	19	26.76%	19	26.76%	67
