Date	Tournament	Surface	Tier	Opponent in the final	Score
September 15, 2002	Sofia	Clay	ITF $25k	Desislava Topalova	6–3, 4–6, 6–0
September 13, 2005	Tbilisi	Clay	ITF $10k	Manana Shapakidze	6–2, 6–1
November 28, 2005	Ramat Hasharon	Hard	ITF $10k	Sharon Fichman	6–3, 7–6 (7-4)
December 5, 2005	Ra'anana	Hard	ITF $10k	Tzipora Obziler	6–3, 7–5
May 8, 2006	Antalya-Belek	Clay	ITF $10k	Claire de Gubernatis	6–1, 7–5
July 31, 2006	Martina Franca	Clay	ITF $50k	Karin Knapp	6–3, 7–5
June 26, 2007	Padova	Clay	ITF $25k	Sandra Záhlavová	3–6, 6–1, 6–3
September 14, 2009	Naples	Clay	ITF $25k	Michaela Pochabová	6–2, 6–1
October 3, 2010	Tbilisi	Clay	ITF $25k	Tatia Mikadze	6–4, 3–6, 7–5
April 9, 2011	Pomezia	Clay	ITF $10k	Annalisa Bona	1–6, 6–2, 6–2
