Round	Circuit	Date	Class A Winner	Class B Winner	Class C Winner	Class D Winner
1	Snetterton Motor Racing Circuit , Norfolk	14 April	John Love	Alan Hutcheson	None (no entries?)	Mike Parkes
2	Goodwood Circuit , West Sussex	23 April	Christabel Carlisle	Alan Hutcheson	None (no entries)	Graham Hill
3	Aintree Motor Racing Circuit , Liverpool	28 April	John Love	Alan Hutcheson	Nicky Byrne	Graham Hill
4	Silverstone Circuit , Northamptonshire	12 May	John Love	Peter Harper	Innes Ireland	Graham Hill
5	Crystal Palace , London	11 June	John Love	Peter Harper	None (no entries)	Roy Salvadori
NC	Goodwood Circuit , West Sussex	11 June	Unknown.	Unknown.	Nicky Byrne	P.J. Woodroffe
NC	Snetterton Motor Racing Circuit , Norfolk	15 July	Mick Clare	Alan Hutcheson	Unknown.	Graham Hill
6	Aintree Motor Racing Circuit , Liverpool	21 July	John Love	Peter Harper	Nicky Byrne	Jack Sears
7	Brands Hatch , Kent	6 August	John Love	Peter Jopp	David Haynes	Mike Parkes
8	Oulton Park , Cheshire	1 September	John Love	Peter Harper	Chris McLaren?	Graham Hill
