Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	Columbus	1 – 5	Edmonton	Denis	16,839	4–9–0
November 3	Columbus	1 – 2	Calgary	Denis	19,289	4–10–0
November 4	Columbus	3 – 5	Vancouver	Denis	18,630	4–11–0
November 9	St. Louis	1 – 3	Columbus	Denis	16,058	5–11–0
November 11	Edmonton	3 – 1	Columbus	Denis	18,136	5–12–0
November 13	Los Angeles	8 – 2	Columbus	Prusek	16,174	5–13–0
November 16	St. Louis	2 – 0	Columbus	Denis	15,802	5–14–0
November 18	Columbus	3 – 6	Dallas	Prusek	18,532	5–15–0
November 20	Columbus	1 – 5	Phoenix	Denis	13,953	5–16–0
November 23	Nashville	4 – 2	Columbus	Leclaire	15,833	5–17–0
November 25	Colorado	5 – 0	Columbus	Leclaire	18,136	5–18–0
November 26	Columbus	4 – 3	St. Louis	Prusek	15,002	6–18–0
November 30	Columbus	3 – 2	Minnesota	Leclaire	18,568	7–18–0
