Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	15–5	Dennis Bermudez	Decision (split)	UFC 157	3	5:00	Anaheim, California , United States
Win	15–4	Leonard Garcia	Decision (unanimous)	UFC on FX: Johnson vs. McCall	3	5:00	Sunrise, Florida , United States
Loss	14–4	Ricardo Lamas	TKO (head kick & punches)	UFC Live: Kongo vs. Barry	1	4:41	Pittsburgh, Pennsylvania , United States
Win	14–3	David Gardner	Decision (unanimous)	FCF 46	3	5:00	Shawnee, Oklahoma , United States
Win	13–3	Thomas Schulte	Submission (punches)	FCF 44	1	4:31	Shawnee, Oklahoma , United States
Win	12–3	Rocky McAnally	Submission (guillotine choke)	FCF 43	1	3:01	Shawnee, Oklahoma , United States
Win	11–3	Steve Schneider	Submission (punches)	Bricktown Brawl 4	1	1:40	Oklahoma City, Oklahoma , United States
Loss	10–3	Shannon Gugerty	Technical submission (guillotine choke)	UFC 100	1	2:36	Las Vegas, Nevada , United States
Loss	10–2	Matt Veach	TKO (punches)	UFC Fight Night: Lauzon vs. Stephens	1	4:34	Tampa, Florida , United States
Win	10–1	Jason Black	Decision (split)	UFC 77	3	5:00	Columbus, Ohio , United States
Loss	9–1	Terry Etim	Technical Submission (guillotine choke)	UFC 70	1	4:38	Manchester , England
Win	9–0	Clint Kerley	TKO (punches)	Freestyle Cage Fighting	1	1:08	Shawnee, Oklahoma , United States
Win	8–0	Jason Anderson	KO (head kick)	Freestyle Cage Fighting	1	0:15	Shawnee, Oklahoma , United States
Win	7–0	Dan Marks	Decision (unanimous)	Extreme Wars 3: Bay Area Brawl	3	5:00	Oakland, California , United States
Win	6–0	Lee King	Submission	Ultimate Texas Showdown 5	1	1:46	Dallas, Texas , United States
Win	5–0	Joe Davis	TKO (punches)	ACF: Showdown at Sundown	1	0:49	Stillwater, Oklahoma , United States
Win	4–0	Shervin Alavi	Decision (unanimous)	Ultimate Texas Showdown 4	3	5:00	Dallas, Texas , United States
Win	3–0	Rocky Long	TKO (punches)	Ultimate Texas Showdown 3	1	1:00	Dallas, Texas , United States
Win	2-0	Marco Adamballi	KO (punch)	XFC - Xtreme Fight Championship 4	1	N/A	Fort Smith, Arkansas , United States
Win	1–0	Matt Grey	KO (punch)	EK: Extreme Fighting	1	N/A	Norman, Oklahoma , United States
