Network	Flagship	Programming	Region	Origin	Owner
7 Saltillo	XHRCG	entertainment	Coahuila	Saltillo	Televisa
TV CU4TRO	XHLEG	educational	Guanajuato	León	Estado de Guanajuato
Soy Guerrero	XHHCG	educational	Guerrero	Chilpancingo	Estado de Guerrero
C3 Hidalgo	XHPAH	educational	Hidalgo	Pachuca	Estado de Hidalgo
TV Mexiquense	XHPTP	educational	State of Mexico	Mexico City	Sistema de Radio y Televisión Mexiquense
SMRTV	XHMOR	educational	Michoacán	Morelia	Estado de Michoacán
TV Azteca Noreste	XHFN	entertainment	Coahuila , Nuevo León , and Tamaulipas	Monterrey	TV Azteca
TVNL	XHMNL	educational	Nuevo León	Monterrey	Estado de Nuevo León
Oaxaca TV	XHAOX	educational	Oaxaca	Oaxaca	Estado de Oaxaca
SICOM	XHPUE	educational	Puebla	Puebla	Estado de Puebla
RTV	XHGV	educational	Veracruz	Xalapa	Estado de Veracruz
Telemax	XEWH	educational	Sonora	Hermosillo	Estado de Sonora
TV Tabasqueña	XHSTA	educational	Tabasco	Villahermosa	Estado de Tabasco
Televisa Tamaulipas	XHTK	entertainment	Tamaulipas	Ciudad Victoria	Televisa
