Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	São Paulo	78	38	12	4	32	34
2	Internacional	69	38	9	9	36	16
3	Grêmio	67	38	7	11	45	19
4	Santos	64	38	10	10	36	21
5	Paraná	60	38	6	14	49	7
6	Vasco	59	38	14	9	50	7
7	Figueirense	57	38	12	11	44	8
8	Goiás	55	38	10	13	49	14
9	Corinthians	53	38	8	15	46	- 5
10	Cruzeiro	53	38	11	13	45	7
11	Flamengo	52	38	7	16	48	- 4
12	Botafogo	51	38	12	13	50	2
13	Atlético-PR	48	38	9	16	62	- 1
14	Juventude	47	38	8	17	54	- 10
15	Fluminense	45	38	12	17	58	- 10
16	Palmeiras	44	38	8	18	70	- 12
17	Ponte Preta	39	38	7	19	65	- 20
18	Fortaleza	38	38	13	16	62	- 23
19	São Caetano	36	38	11	18	53	- 16
20	Santa Cruz	28	38	7	24	75	- 34
