Week	Date	Opponent	Result	Attendance
1	September 1, 1996	Cincinnati Bengals	W 26-16	62,659
2	September 8, 1996	at San Francisco 49ers	L 34-0	63,624
3	Bye	Bye	Bye	Bye
4	September 22, 1996	Washington Redskins	L 17-10	62,303
5	September 29, 1996	at Arizona Cardinals	L 31-28	33,116
6	October 6, 1996	San Francisco 49ers	L 28-11	61,260
7	October 13, 1996	at Carolina Panthers	L 45-13	70,535
8	October 20, 1996	Jacksonville Jaguars	W 17-14	60,066
9	October 27, 1996	at Baltimore Ravens	L 37-31	60,256
10	November 3, 1996	at Pittsburgh Steelers	L 42-6	58,148
11	November 10, 1996	Atlanta Falcons	W 59-16	58,776
12	November 17, 1996	Carolina Panthers	L 20-10	60,652
13	November 24, 1996	Green Bay Packers	L 24-9	61,499
14	December 1, 1996	at New Orleans Saints	W 26-10	26,310
15	December 8, 1996	at Chicago Bears	L 35-9	45,075
16	December 15, 1996	at Atlanta Falcons	W 34-27	26,519
17	December 21, 1996	New Orleans Saints	W 14-13	57,681
