Name	Nationality	from	to	League Apps	League Goals	Finals Apps	Finals Goals	Position
Anderson	– BRA	2009	present	26	0	1	0	DF
Anderson, Zachary	– AUS	2009	present	2	0	0	0	MF
Barisic, Andrew	– AUS	2009	present	6	1	0	0	FW
Bevan, Mitch	– AUS	2009	present	1	0	0	0	MF
Brown, James	– AUS	2009	present	8	1	1	0	MF
Byrnes, Mark	– AUS	2009	2009	1	0	0	0	DF
Caravella, Zenon	– AUS	2009	present	23	1	1	0	MF
Culina, Jason	– AUS	2009	present	25	3	1	0	MF
Djulbić, Dino	– AUS	2009	present	5	0	1	0	DF
Fitzsimmons, Steve	– AUS	2009	present	19	2	0	0	MF
Griffiths, Adam	– AUS	2009	2009	1	0	0	0	DF
Higgins, Scott	– AUS	2009	present	11	0	0	0	GK
Jefferson	– BRA	2009	present	1	0	0	0	MF
Lustica, Steve	– AUS	2009	present	2	0	0	0	MF
Mebrahtu, Gol-Gol	– AUS	2009	present	6	0	0	0	FW
Miller, Charlie	– SCO	2009	2010	9	1	1	0	MF
Milson	– BRA	2009	2010	9	0	0	0	FW
Minniecon, Tahj	– AUS	2009	present	17	1	0	0	FW
Osman, Matthew	– AUS	2009	present	14	0	1	0	MF
Pantelidis, Steve	– AUS	2009	present	20	0	0	0	MF
Piorkowski, Daniel	– AUS	2009	present	2	0	0	0	DF
Porter, Joel	– AUS	2009	present	23	5	1	0	FW
Rees, Kristian	– AUS	2009	present	25	2	1	0	DF
Robson	– BRA	2009	present	10	1	1	0	MF
Smeltz, Shane	– NZL	2009	present	25	19	1	0	FW
Thwaite, Michael	– AUS	2009	present	27	0	1	0	DF
Traoré, Adama	– CIV	2009	present	11	0	0	0	DF
van den Brink, Bas	– NED	2009	present	26	1	1	0	DF
Vanstrattan, Jess	– AUS	2009	present	17	0	1	0	GK
