Story #	Title	Doctor	Narrator	Format	release date	Notes
37	The Tomb of the Cybermen	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2006-05-01 1 May 2006	Bonus interview with Frazer Hines
23	The Ark	1 First Doctor	Purves, Peter Peter Purves	2-CD	2006-08-07 7 August 2006	Bonus interview with Peter Purves
44	The Dominators	2 Second Doctor	Padbury, Wendy Wendy Padbury	2-CD	2007-05-07 7 May 2007	Bonus interview with Wendy Padbury
27	The War Machines	1 First Doctor	Wills, Anneke Anneke Wills	2-CD	2007-08-06 6 August 2007	Bonus interview with Anneke Wills
61	The Curse of Peladon	3 Third Doctor	Manning, Katy Katy Manning	2-CD	2007-11-05 5 November 2007	Bonus interview with Katy Manning
73	The Monster of Peladon	3 Third Doctor	Sladen, Elisabeth Elisabeth Sladen	2-CD	2008-03-03 3 March 2008	Bonus interview with Elisabeth Sladen
7	The Sensorites	1 First Doctor	Russell, William William Russell	2-CD	2008-07-10 10 July 2008	Bonus interview with William Russell
47	The Krotons	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2008-11-13 13 November 2008	Bonus interview with Frazer Hines
56	The Mind of Evil	3 Third Doctor	Franklin, Richard Richard Franklin	2-CD	2009-02-12 12 February 2009	Bonus interview with Richard Franklin
53	The Ambassadors of Death	3 Third Doctor	John, Caroline Caroline John	3-CD	2009-08-06 6 August 2009	Bonus interview with Caroline John
92	Horror of Fang Rock	4 Fourth Doctor	Jameson, Louise Louise Jameson	2-CD	2012-09-06 6 September 2012	Bonus interview with Louise Jameson
99	The Pirate Planet	4 Fourth Doctor	Leeson, John John Leeson	2-CD	2012-10-04 4 October 2012	Bonus interview with John Leeson
104	Destiny of the Daleks	4 Fourth Doctor	Ward, Lalla Lalla Ward	2-CD	2012-11-05 5 November 2012	Bonus interview with Lalla Ward
105	City of Death	4 Fourth Doctor	Ward, Lalla Lalla Ward	2-CD	2012-12-06 6 December 2012	Bonus interview with Lalla Ward
