Team	Truck(s)	#	Driver(s)	Primary Sponsor(s)	Listed Owner(s)	Crew Chief
Billy Ballew Motorsports	Toyota Tundra	15	Ted Musgrave / Johnny Benson	Red Top Auto Auction	Billy Ballew	Kevin Starland
Billy Ballew Motorsports	Toyota Tundra	51	Aric Almirola	Graceway Pharmaceuticals	Billy Ballew	Richie Wauters
Brent Raymer Racing	Ford F-150	85	Brent Raymer	Ford Drive One	Pete Raymer	Josh Raymer
Circle Bar Racing	Ford F-150	14	Rick Crawford	Lilly Trucking	Tom Mitchell	Blake Bainbridge
Daisy Ramirez Motorsports	Chevrolet Silverado	1	J. J. Yeley / Dillon Oliver (R)	Koma Chillaxation Drink	Daisy Ramirez	Dan Glauz
DGM Racing	Chevrolet Silverado	12	Mario Gosselin	TireMonkey.com	Michelle Gosselin	George Church
Fast Track Racing Enterprises	Chevrolet Silverado	48	Tim Bainey, Jr. / Hermie Sadler	DelGrosso	Andy Hillenburg	David McClure
Germain Racing	Toyota Tundra	30	Todd Bodine	GEICO	Stephen Germain	Mike Hillman, Jr.
JJC Racing	Ford F-150	10	Jennifer Jo Cobb (R)	Driven For Men	Tom Mitchell 1	Rudy Prickler
Kevin Harvick Incorporated	Chevrolet Silverado	2	Kevin Harvick / Elliott Sadler	Tide / Hunt Brothers Pizza	Delana Harvick	Doug George
Kevin Harvick Incorporated	Chevrolet Silverado	33	Ron Hornaday	Longhorn / Georgia Boot	Delana Harvick	Dave Fuge
Kyle Busch Motorsports	Toyota Tundra	18	Kyle Busch / Brian Ickler	Heluva! Good	Kyle Busch	Eric Phillips
Kyle Busch Motorsports	Toyota Tundra	56	Tayler Malsam	Talking Rain / actiVwater	Joe Scott 2	Dan Stillman
Norm Benning Racing	Chevrolet Silverado	57	Norm Benning	n/a	Norm Benning	Billy Wheeler
Randy Moss Motorsports with HTM	Toyota Tundra	5	Mike Skinner	International Trucks / Monaco RV	David Dollar	Gene Nead
Randy Moss Motorsports with HTM	Toyota Tundra	81	David Starr	Zachry	Randy Moss	Doug Wolcott
Red Horse Racing	Toyota Tundra	7	Justin Lofton (R)	VisitPIT.com	Tom DeLoach	Mark Rette
Red Horse Racing	Toyota Tundra	17	Timothy Peters	K&N Engineering, Inc.	Tom DeLoach	Jeff Hensley
Richard Childress Racing	Chevrolet Silverado	3	Austin Dillon (R)	Bass Pro Shops / Tracker	Andy Hillenburg 3	Danny Stockman
Rick Ware Racing	Chevrolet Silverado	6	Donnie Neuenberger	EZ Slider	Rick Ware	Rick Ware
Rick Ware Racing	Chevrolet Silverado	47	Brett Butler (R)	Fuel Doctor	Bobby Dotter 4	Gary Cogswell
Sieg Racing	Chevrolet Silverado	39	Ryan Sieg	Waste Pro	Susan Bates	Mike Garvey
Sieg Racing	Chevrolet Silverado	93	Shane Sieg	S&W Services	Pam Sieg	Tony Wilson
SS-Green Light Racing	Chevrolet Silverado	7	Donny Lia / Tony Jackson, Jr.	ASI Limited	Ken White	Jason Miller
SS-Green Light Racing	Chevrolet Silverado	21	Chris Eggleston (R)	H20 Fire Protection	Steve Urvan	Butch Miller
SS-Green Light Racing	Dodge Ram	23	Jason White	GunBroker.com	Steve Urvan	Doug Howe
Team Gill Racing	Dodge Ram	46	Dennis Setzer	PlaneGuts.com	Joy Gill	Joey Jones
Team Gill Racing	Ford F-150	95	Johnny Benson / Lance Fenton	PlaneGuts.com	Danny Gill	Danny Gill
ThorSport Racing	Chevrolet Silverado	13	Johnny Sauter	Curb Records	Mike Curb	Joe Shear, Jr.
ThorSport Racing	Chevrolet Silverado	88	Matt Crafton	Menards	Rhonda Thorson	Bud Haefele
Turner Motorsports	Chevrolet Silverado	4	Ricky Carmichael	Monster Energy	Delana Harvick 5	Mike Fritts
