Date	Opponent	Location	Result	Attendance
09/07/1974*	#18 North Carolina State	Groves Stadium • Winston-Salem, NC	L 15-33	22,500
09/14/1974	William & Mary	Groves Stadium • Winston-Salem, NC	L 6-17	11,800
09/21/1974*	North Carolina	Groves Stadium • Winston-Salem, NC	L 0-31	27,200
10/05/1974	at #2 Oklahoma	Oklahoma Memorial Stadium • Norman, OK	L 0-63	61,121
10/12/1974	at #15 Penn State	Beaver Stadium • University Park, PA	L 0-55	56,500
10/19/1974*	at #18 Maryland	Byrd Stadium • College Park, MD	L 0-47	31,136
10/26/1974*	Virginia	Groves Stadium • Winston-Salem, NC	L 0-14	13,700
11/02/1974*	Clemson	Groves Stadium • Winston-Salem, NC	L 9-21	13,200
11/09/1974*	at Duke	Wallace Wade Stadium • Durham, NC	L 7-23	18,200
11/16/1974	at South Carolina	Williams-Brice Stadium • Columbia, SC	L 21-34	27,677
11/23/1974	Furman	Groves Stadium • Winston-Salem, NC	W 16-10	7,800
