Outcome	Date	Tournament	Surface	Opponent in the final	Score in the final
Runner-up	30 January 1984	Houston , USA WTA Virginia Slims	Carpet (I)	Hana Mandlíková	4–6, 2–6
Winner	7 May 1984	Lugano , Switzerland WTA Virginia Slims	Clay	Iva Budařová	6–1, 6–1
Winner	21 May 1984	Perugia , Italy WTA Virginia Slims	Clay	Chris Evert	6–3, 6–3
Winner	6 August 1984	Indianapolis , USA WTA Virginia Slims	Clay	Lisa Bonder	6–4, 6–3
Winner	12 November 1984	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Hana Mandlíková	6–1, 1–6, 6–4
Winner	10 December 1984	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Claudia Kohde-Kilsch	3–6, 6–4, 6–4
Runner-up	7 January 1985	Washington , USA WTA Virginia Slims	Carpet (I)	Martina Navratilova	3–6, 2–6
Runner-up	20 May 1985	Lugano , Switzerland WTA Virginia Slims	Clay	Bonnie Gadusek	4–6, 2–6
Runner-up	21 October 1985	Brighton , UK WTA Virginia Slims	Carpet (I)	Chris Evert	5–7, 3–6
Runner-up	11 November 1985	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Chris Evert	5–7, 0–6
Winner	9 December 1985	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Bonnie Gadusek	7–6 (7–2) , 3–6, 7–5
Runner-up	19 May 1986	Lugano , Switzerland WTA Virginia Slims	Clay	Raffaella Reggi	7–5, 3–6, 6–7 (6–8)
Runner-up	9 June 1986	Birmingham , UK WTA Virginia Slims	Grass	Pam Shriver	2–6, 6–7 (0–7)
Runner-up	8 September 1986	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Steffi Graf	4–6, 2–6
Winner	30 March 1987	Wild Dunes , USA WTA Virginia Slims	Clay	Raffaella Reggi	5–7, 6–2, 6–3
Runner-up	6 April 1987	Hilton Head Island , USA WTA Virginia Slims	Clay	Steffi Graf	2–6, 6–4, 3–6
Runner-up	18 May 1987	Geneva , Switzerland WTA Virginia Slims	Clay	Chris Evert	3–6, 6–4, 2–6
Winner	24 August 1987	Mahwah , USA WTA Virginia Slims	Hard	Sylvia Hanika	1–6, 6–4, 6–1
Runner-up	14 September 1987	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Gabriela Sabatini	4–6, 6–7 (6–8)
Winner	29 February 1988	Wichita , USA WTA Tier V	Hard (I)	Sylvia Hanika	7–6 (7–5) , 7–5
Winner	12 September 1988	Phoenix , USA WTA Tier V	Hard	Dinky Van Rensburg	6–3, 4–6, 6–2
Runner-up	17 October 1988	Zürich , Switzerland WTA Tier IV	Carpet (I)	Pam Shriver	3–6, 4–6
Runner-up	24 October 1988	Brighton , UK WTA Tier III	Carpet (I)	Steffi Graf	2–6, 0–6
Winner	12 March 1989	Indian Wells , USA WTA Tier III	Hard	Jenny Byrne	6–4, 6–1
Winner	22 May 1989	Geneva , Switzerland WTA Tier V	Clay	Conchita Martínez	6–4, 6–0
Runner-up	12 February 1990	Chicago , USA WTA Tier I	Carpet (I)	Martina Navratilova	3–6, 2–6
Runner-up	27 March 1990	San Antonio , USA WTA Tier III	Hard	Monica Seles	4–6, 3–6
Runner-up	6 August 1990	San Diego , USA WTA Tier III	Hard	Steffi Graf	3–6, 2–6
Winner	11 February 1991	Linz , Austria WTA Tier V	Carpet (I)	Petra Langrová	6–4, 7–6 (7–1)
Runner-up	22 April 1991	Barcelona , Spain WTA Tier III	Clay	Conchita Martínez	4–6, 1–6
Winner	20 May 1991	Geneva , Switzerland WTA Tier IV	Clay	Helen Kelesi	6–3, 3–6, 6–3
Winner	23 September 1991	Bayonne , France WTA Tier IV	Carpet (I)	Leila Meskhi	4–6, 6–3, 6–4
Runner-up	6 July 1992	Kitzbühel , Austria WTA Tier IV	Clay	Conchita Martínez	0–6, 6–3, 2–6
Winner	28 September 1992	Bayonne , France WTA Tier IV	Carpet (I)	Nathalie Tauziat	6–7 (4–7) , 6–2, 6–3
Winner	22 February 1993	Linz , Austria WTA Tier III	Carpet (I)	Conchita Martínez	6–2, 1–0, Ret.
Winner	4 October 1993	Zürich , Switzerland WTA Tier I	Carpet (I)	Martina Navratilova	6–3, 7–6 (7–1)
Winner	8 February 1994	Osaka , Japan WTA Tier III	Carpet (I)	Iva Majoli	6–1, 4–6, 7–5
