Place	Player	Country	Score	To par
1	Nick Faldo	England	67-65=132	–12
1	Greg Norman	Australia	66-66=132	–12
T3	Craig Parry	Australia	68-68=136	–8
T3	Payne Stewart	United States	68-68=136	–8
T5	Nick Price	Zimbabwe	70-67=137	–7
T5	Mike Reid	United States	70-67=137	–7
T5	Jamie Spence	England	72-65=137	–7
T5	Ian Woosnam	Wales	68-69=137	–7
T9	Peter Jacobsen	United States	68-70=138	–6
T9	Jodie Mudd	United States	72-66=138	–6
T9	José María Olazábal	Spain	71-67=138	–6
T9	Steve Pate	United States	70-68=138	–6
T9	Anders Sørensen	Denmark	70-68=138	–6
T9	Sam Torrance	Scotland	68-70=138	–6
