Driver	Team	Laps	Time/Retired	Grid	Points
Robert Doornbos	Minardi Team USA	62	1:45:41.899	5	31
Sébastien Bourdais	N/H/L Racing	62	+2.889	3	28
Will Power	Team Australia	62	+7.310	2	26
Simon Pagenaud	Team Australia	62	+10.563	7	23
Justin Wilson	RSPORTS	62	+11.289	4	21
Neel Jani	PKV Racing	62	+12.347	6	19
Graham Rahal	N/H/L Racing	62	+12.8	9	17
Alex Tagliani	RSPORTS	62	+13.4	8	15
Oriol Servia	Forsythe Racing	62	+26.7	13	13
Ryan Dalziel	Pacific Coast Motorsports	62	+32.9	12	11
Katherine Legge	Dale Coyne Racing	62	+46.6	16	11
Tristan Gommendy	PKV Racing	60	+ 2 Laps	1	10
Alex Figge	Pacific Coast Motorsports	56	Mechanical	14	8
Dan Clarke	Minardi Team USA	34	Mechanical	10	7
Paul Tracy	Forsythe Racing	28	Mechanical	17 *	6
Jan Heylen	Conquest Racing	24	Off Course	11	5
Bruno Junqueira	Dale Coyne Racing	5	Mechanical	15	4
