Year	Winner	Score	Runner-up	Finals Venue (surface)	City
1963	United States (1)	2–1	Australia (1)	Queen's Club (G)	London , UK
1964	Australia (1)	2–1	United States (1)	Germantown Cricket Club (G)	Philadelphia , USA
1965	Australia (2)	2–1	United States (2)	Kooyong Club (G)	Melbourne , Australia
1966	United States (2)	3–0	West Germany (1)	Turin Press Sporting Club (C)	Turin , Italy
1967	United States (3)	2–0	[[|]] (1)	Blau-Weiss T.C. (C)	West Berlin
1968	Australia (3)	3–0	[[|]] (1)	Stade Roland Garros (C)	Paris , France
1969	United States (4)	2–1	Australia (2)	Athens Tennis Club (C)	Athens , Greece
1970	Australia (4)	3–0	West Germany (2)	Freiburg T.C. (C)	Freiburg , West Germany
1971	Australia (5)	3–0	[[|]] (2)	Royal King's Park T.C. (G)	Perth , Australia
1972	[[|]] (1)	2–1	[[|]] (3)	Ellis Park (H)	Johannesburg , South Africa
1973	Australia (6)	3–0	[[|]] (1)	Bad Homburg T.C. (C)	Bad Homburg , West Germany
1974	Australia (7)	2–1	United States (3)	Naples T.C. (C)	Naples , Italy
1975	Czechoslovakia (1)	3–0	Australia (3)	Aixoise C.C. (C)	Aix-en-Provence , France
1976	United States (5)	2–1	Australia (4)	The Spectrum (ICp)	Philadelphia , USA
1977	United States (6)	2–1	Australia (5)	Devonshire Park (G)	Eastbourne , UK
1978	United States (7)	2–1	Australia (6)	Kooyong Club (G)	Melbourne , Australia
1979	United States (8)	3–0	Australia (7)	RSHE Club Campo (C)	Madrid , Spain
1980	United States (9)	3–0	Australia (8)	Rot-Weiss Tennis Club (C)	West Berlin
1981	United States (10)	3–0	[[|]] (4)	Tamagawa-en Racquet Club (C)	Tokyo , Japan
1982	United States (11)	3–0	West Germany (3)	Decathlon Club (H)	Santa Clara , USA
1983	Czechoslovakia (2)	2–1	West Germany (4)	Albisguetli T.C. (C)	Zurich , Switzerland
1984	Czechoslovakia (3)	2–1	Australia (9)	Pinheiros Sports Club (C)	São Paulo , Brazil
1985	Czechoslovakia (4)	2–1	United States (4)	Nagoya Green T.C. (H)	Nagoya , Japan
1986	United States (12)	3–0	Czechoslovakia (1)	Stvanice Stadium (C)	Prague , Czechoslovakia
1987	West Germany (1)	2–1	United States (5)	Hollyburn C.C. (H)	Vancouver , Canada
1988	Czechoslovakia (5)	2–1	Soviet Union (1)	Flinders Park (H)	Melbourne , Australia
1989	United States (13)	3–0	[[|]] (1)	Ariake Forest Park Centre (H)	Tokyo , Japan
1990	United States (14)	2–1	Soviet Union (2)	Peachtree W.O.T. (H)	Atlanta , USA
1991	[[|]] (1)	2–1	United States (6)	Nottingham Tennis Centre (H)	Nottingham , UK
1992	[[|]] (2)	2–1	[[|]] (2)	Waldstadion T.C. (C)	Frankfurt , Germany
1993	[[|]] (2)	3–0	Australia (10)	Waldstadion T.C. (C)	Frankfurt , Germany
1994	[[|]] (3)	3–0	United States (7)	Waldstadion T.C. (C)	Frankfurt , Germany
1995	[[|]] (4)	3–2	United States (8)	Valencia T.C. (C)	Valencia, Spain
1996	United States (15)	5–0	[[|]] (3)	Atlantic City Convention Center (ICp)	Atlantic City , USA
1997	[[|]] (1)	4–1	[[|]] (2)	Brabant Hall (ICp)	Den Bosch , Netherlands
1998	[[|]] (5)	3–2	[[|]] (1)	Palexpo Hall (IH)	Geneva , Switzerland
1999	United States (16)	4–1	[[|]] (3)	Taube Tennis Stadium (H)	Stanford , USA
2000	United States (17)	5–0	[[|]] (4)	Mandalay Bay Events Center (ICp)	Las Vegas , USA
2001	[[|]] (1)	2–1	[[|]] (4)	Parque Ferial Juan Carlos I (IC)	Madrid , Spain
2002	[[|]] (1)	3–1	[[|]] (5)	Palacio de Congresos (IH)	Gran Canaria , Spain
2003	[[|]] (2)	4–1	United States (9)	Olympic Stadium (ICp)	Moscow , Russia
2004	[[|]] (1)	3–2	[[|]] (1)	Ice Stadium Krylatskoe (ICp)	Moscow , Russia
2005	[[|]] (2)	3–2	[[|]] (2)	Court Philippe Chatrier (C)	Paris , France
2006	Italy (1)	3–2	[[|]] (1)	Spiroudome (IH)	Charleroi , Belgium
2007	[[|]] (3)	4–0	Italy (1)	Luzhniki Palace of Sports (IH)	Moscow , Russia
2008	[[|]] (4)	4–0	[[|]] (6)	Club de Campo Villa de Madrid (C)	Madrid , Spain
2009	Italy (2)	4–0	United States (10)	Circolo del Tennis (C)	Reggio Calabria , Italy
2010	Italy (3)	3–1	United States (11)	San Diego Sports Arena (IH)	San Diego , USA
2011	[[|]] (6)	3–2	[[|]] (5)	Olympic Stadium (IH)	Moscow , Russia
2012	[[|]] (7)	3–1	[[|]] (1)	O2 Arena (IH)	Prague , Czech Republic
2013	Italy (4)	4–0	[[|]] (6)	Tennis Club Cagliari (C)	Cagliari , Italy
