Rank	Rider	Team	Speed	Time
1	Georg Auerbacher /H.Hahn	BMW	86.86mph	1.18.12.0
2	A.J.Samson/D.A.Jose	Triumph	82.50mph	1.22.20.2
3	R.Williamson/J.McPherson	Weslake	82.25mph	1.23.50.0
4	R.Woodhouse/D.Woodhouse	Honda	81.91mph	1.22.55.0
5	D.Wood/D.Coomber	Norton	81.19mph	1.23.39.8
6	D.Plummer/M.Brett	Triumph	80.77mph	1.24.05.6
7	B.Currie/M.Scott	Triumph	80.60mph	1.24.16.2
8	M.Potter/P.J.Burleigh	BSA	80.18mph	1.24.43.4
9	D.Hawes/J.P.Mann	Seeley	80.09mph	1.24.48.6
10	A.Methersill/M.Mitchinson	AMS	79.52mph	1.25.24.8
