Year	Trim	Engine	Power	Torque	EPA (2008) City
2006	LS/LT	L (cuin) Ecotec L61 I4	bhp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2006	LT/2LT	L (cuin) Ecotec LE5 I4	bhp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2007	LS/LT	L (cuin) Ecotec L61 I4	hp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2007	LS/2LT	L (cuin) Ecotec LE5 I4	bhp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2008	LS/LT	L (cuin) Ecotec L61 I4	hp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2008	LT/2LT	L (cuin) Ecotec LE5 I4	hp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2008	SS	L (cuin) turbo Ecotec LNF I4	bhp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2009	LS/LT	L (cuin) Ecotec L61 I4	hp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2009	LT/2LT	L (cuin) Ecotec LE5 I4	hp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2009	SS	L (cuin) turbo Ecotec LNF I4	bhp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2010	LS/LT	L (cuin) Ecotec L61 I4	hp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2010	LT/2LT	L (cuin) Ecotec LE5 I4	hp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2010	SS	L (cuin) turbo Ecotec LNF I4	bhp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2011	LS/LT	L (cuin) Ecotec L61 I4	hp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
2011	LT/2LT	L (cuin) Ecotec LE5 I4	hp (kW)	lb·ft (N·m)	mpg-US (L/100km; mpg-imp)
