Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Ian Bray	DF	32	1	2	0	2	0	36	1
Malcolm Brown	DF	36 (1)	0	2	0	0	0	38 (1)	0
Peter Butler	MF	0 (1)	0	0	0	0	0	0 (1)	0
David Cork	FW	37 (1)	8	0 (1)	0	2	0	39 (2)	8
David Cowling	MF	39	6	2	1	2	0	43	7
Brian Cox	GK	37	0	2	0	2	0	41	0
Terry Curran	MF	33 (1)	7	0	0	2	1	35 (1)	8
Steve Doyle	MF	42	0	2	0	2	0	46	0
Joey Jones	DF	38	1	2	0	2	1	42	2
Paul Jones	DF	14	0	0	0	2	0	16	0
Keith Mason	GK	5	0	0	0	0	0	5	0
Paul Raynor	MF	20 (10)	5	2	0	0	0	22 (10)	5
Liam Robinson	FW	0 (1)	0	0	0	0	0	0 (1)	0
Duncan Shearer	FW	7 (1)	7	0	0	0	0	7 (1)	7
Brian Stanton	MF	7 (6)	1	2	0	0 (1)	0	9 (7)	1
Dale Tempest	FW	29 (1)	12	2	0	2	1	33 (1)	13
Simon Webster	DF	41	2	2	0	2	0	45	2
Paul Wilson	DF	7	0	0	0	0	0	7	0
Phil Wilson	MF	35	1	2	0	2	0	39	1
Julian Winter	MF	3 (1)	0	0	0	0	0	3 (1)	0
