Round	Overall	Player	Nationality	Club team
1	2	Jason Spezza	Canada	Windsor Spitfires (OHL)
1	23	Tim Gleason	United States	Windsor Spitfires (OHL)
2	60	Victor Uchevatov	Russia	Yaroslavl Torpedo (Russia)
3	81	Neil Komadoski	United States	University of Notre Dame (NCAA)
4	99	Ray Emery	Canada	Sault Ste. Marie Greyhounds (OHL)
4	127	Christoph Schubert	Germany	Munich Barons (Germany)
5	162	Stefan Schauer	Germany	Garmisch-Partenkirchen Riessersee SC (Germany 2)
6	193	Brooks Laich	Canada	Moose Jaw Warriors (WHL)
7	218	Jan Platil	Czech Republic	Barrie Colts (OHL)
7	223	Brandon Bochenski	United States	University of North Dakota (NCAA)
8	235	Neil Petruic	Canada	Kindersley Klippers (SJHL)
8	256	Gregg Johnson	United States	Boston University (NCAA)
9	286	Toni Dahlman	Finland	Tampere Ilves (Finland)
