Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 2, 1984	New York Jets	L14–23	0–1	Hoosier Dome	61148
2	September 9, 1984	at Houston Oilers	W 35–21	1–1	Astrodome	43820
3	September 16, 1984	St. Louis Cardinals	L 33–34	1–2	Hoosier Dome	60274
4	September 23, 1984	at Miami Dolphins	L 7–44	1–3	Miami Orange Bowl	55415
5	September 30, 1984	Buffalo Bills	W 31–17	2–3	Hoosier Dome	60032
6	October 7, 1984	Washington Redskins	L 7–35	2–4	Hoosier Dome	60012
7	October 14, 1984	at Philadelphia Eagles	L 7–16	2–5	Veterans Stadium	50277
8	October 21, 1984	Pittsburgh Steelers	W 17–16	3–5	Hoosier Dome	60026
9	October 28, 1984	at Dallas Cowboys	L 3–22	3–6	Texas Stadium	58724
10	November 4, 1984	San Diego Chargers	L 10–38	3–7	Hoosier Dome	60143
11	November 11, 1984	at New York Jets	W 9–5	4–7	The Meadowlands	51066
12	November 18, 1984	New England Patriots	L 17–50	4–8	Hoosier Dome	60009
13	November 25, 1984	at Los Angeles Raiders	L 7–21	4–9	Los Angeles Memorial Coliseum	40289
14	December 2, 1984	at Buffalo Bills	L 15–21	4–10	Rich Stadium	20693
15	December 9, 1984	Miami Dolphins	L 17–35	4–11	Hoosier Dome	60411
