Rank	Player	County	Tally	Total	Opposition
1	Éamonn Moroney	Clare	2–4	10	Waterford
1	Joe McKenna	Clare	2–4	10	Kilkenny
1	Liam 'Chunky' O'Brien	Clare	1–7	10	Kilkenny
1	Ned Buggy	Wexford	0–10	10	Offaly
5	Mick Holden	Dublin	2–3	9	Kilkenny
5	P. J. Molloy	Galway	1–6	9	Cork
5	Ned Buggy	Wexford	1–6	9	Kilkenny
8	Éamonn Cregan	Limerick	0–8	8	Clare
8	Mick 'Cloney' Brennan	Kilkenny	0–8	8	Wexford
10	Mick Crotty	Kilkenny	1–4	7	Dublin
10	Joe McKenna	Limerick	1–4	7	Waterford
10	Matt Ruth	Kilkenny	1–4	7	Wexford
10	Charlie McCarthy	Cork	1–4	7	Limerick
