Country	Rank	Aid	Trade	Investment	Migration	Environment	Security	Technology	Overall (Average)
1	Denmark	11.5	5.3	4.7	6.2	6.8	7.7	6.6	7.0
2	Norway	13.0	1.1	6.1	9.9	3.2	7.6	5.7	6.6
3	Sweden	12.6	5.8	5.3	7.8	7.3	1.2	4.7	6.4
4	Luxembourg	13.0	5.3	4.2	6.8	5.5	5.0	4.2	6.3
5	Austria	3.1	5.6	4.8	11.7	6.2	6.1	5.7	6.2
6	Netherlands	9.5	5.9	6.3	5.5	6.7	3.2	5.4	6.1
7	Finland	6.6	5.8	5.1	4.4	7.4	6.6	5.9	6.0
8	New Zealand	3.3	8.1	4.3	6.4	6.2	7.3	4.8	5.8
9	United Kingdom	6.8	5.5	6.3	4.7	7.2	5.4	4.3	5.7
10	Portugal	3.1	5.6	5.2	4.0	7.2	6.0	7.4	5.5
11	Canada	5.0	6.2	6.1	7.0	2.5	5.7	5.5	5.4
11	Germany	3.9	5.5	6.3	6.9	6.9	3.7	5.0	5.4
13	Belgium	6.4	5.5	5.3	5.0	7.0	3.6	4.6	5.3
13	France	4.2	5.6	6.1	4.0	6.9	3.7	6.6	5.3
15	Spain	4.0	5.5	5.9	5.4	6.4	3.4	5.8	5.2
15	Australia	4.3	7.4	6.1	4.2	3.8	5.1	5.2	5.2
17	Ireland	7.5	5.2	2.9	2.8	6.5	6.9	3.9	5.1
18	Switzerland	5.2	1.5	4.4	8.6	5.8	4.4	4.8	5.0
19	United States	3.2	6.7	5.0	5.2	4.3	4.6	4.9	4.8
20	Italy	1.3	5.7	5.4	4.7	6.7	5.0	4.2	4.7
21	Greece	1.6	5.3	4.0	6.4	5.9	5.7	2.8	4.5
22	Hungary	0.8	5.4	3.6	1.7	7.9	5.4	3.4	4.0
23	Slovakia	0.8	5.8	2.9	0.6	8.3	5.5	2.6	3.8
24	Czech Republic	1.1	5.5	3.9	1.3	7.2	1.6	5.3	3.7
25	Poland	0.7	5.6	4.1	0.6	7.4	3.8	2.7	3.6
26	Japan	1.6	0.1	5.2	1.9	4.5	4.5	6.1	3.4
