City	Country	IATA	ICAO	Airport
Abu Dhabi	United Arab Emirates	AUH	OMAA	Abu Dhabi International Airport
Adelaide	Australia	ADL	YPAD	Adelaide Airport
Amsterdam	Netherlands	AMS	EHAM	Amsterdam Schiphol Airport
Anchorage	United States	ANC	PANC	Ted Stevens Anchorage International Airport
Atlanta	United States	ATL	KATL	Hartsfield-Jackson Atlanta International Airport
Auckland	New Zealand	AKL	NZAA	Auckland Airport
Bahrain	Bahrain	BAH	OBBI	Bahrain International Airport
Bandar Seri Begawan	Brunei	BWN	WBSB	Brunei International Airport
Bangalore	India	BLR	VOBL	Bengaluru International Airport
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport
Beijing	China	PEK	ZBAA	Beijing Capital International Airport
Boston	United States	BOS	KBOS	Logan International Airport
Brisbane	Australia	BNE	YBBN	Brisbane Airport
Brussels	Belgium	BRU	EBBR	Brussels Airport
Cairns	Australia	CNS	YBCS	Cairns Airport
Calcutta	India	CCU	VECC	Netaji Subhas Chandra Bose International Airport
Cebu	Philippines	CEB	RPVM	Mactan-Cebu International Airport
Chengdu	China	CTU	ZUUU	Chengdu Shuangliu International Airport
Chennai	India	MAA	VOMM	Chennai International Airport
Chicago	United States	ORD	KORD	O'Hare International Airport
Chongqing	China	CKG	ZUCK	Chongqing Jiangbei International Airport
Colombo	Sri Lanka	CMB	VCBI	Bandaranaike International Airport
Dallas	United States	DFW	KDFW	Dallas/Fort Worth International Airport
Delhi	India	DEL	VIDP	Indira Gandhi International Airport
Denpasar	Indonesia	DPS	WADD	Ngurah Rai International Airport
Dhahran	Saudi Arabia	DHA	OEDR	Dhahran International Airport
Dhaka	Bangladesh	DAC	VGZR	Shah Jalal International Airport
Dubai	United Arab Emirates	DXB	OMDB	Dubai International Airport
Frankfurt	Germany	FRA	EDDF	Frankfurt Airport
Fukuoka	Japan	FUK	RJFF	Fukuoka Airport
