Game	February	Opponent	Score	Record
7	1	@ Pittsburgh Penguins	4 - 3	2-5-0
8	2	Tampa Bay Lightning	3 - 3 OT	2-5-1
9	4	@ Ottawa Senators	2 - 1	3-5-1
10	8	Washington Capitals	5 - 4	4-5-1
11	9	@ New Jersey Devils	4 - 1	4-6-1
12	11	@ Tampa Bay Lightning	3 - 2	5-6-1
13	15	@ Buffalo Sabres	2 - 1	6-6-1
14	16	Montreal Canadiens	2 - 2 OT	6-6-2
15	18	@ Montreal Canadiens	5 - 2	6-7-2
16	20	@ Tampa Bay Lightning	3 - 1	7-7-2
17	21	@ Florida Panthers	5 - 3	8-7-2
18	24	Hartford Whalers	2 - 1	8-8-2
19	26	@ Buffalo Sabres	4 - 2	9-8-2
20	28	Florida Panthers	0 - 0 OT	9-8-3
