Player	No.	Nationality	Position	Years in Toronto	School/Club Team
Quincy Acy	4	United States	Forward	2012-present	Baylor
Hassan Adams	3	United States	Guard-Forward	2008-09	Arizona
Alexis Ajinça	42	France	Center	2011	Hyères-Toulon ( France )
Solomon Alabi	50	Nigeria	Center	2010-2012	Florida State
Rafer Alston	11, 12	United States	Guard	2002-03, 2004-05	Fresno State
David Andersen	13	Australia	Center	2010	Virtus Bologna ( Italy )
Alan Anderson	6	United States	Guard-Forward	2012-2013	Michigan State
Willie Anderson	40	United States	Guard-Forward	1995-96	Georgia
Rafael Araújo	55	Brazil	Center	2004-06	BYU
Robert Archibald	34	Scotland	Center	2004	Illinois
Carlos Arroyo	21	Puerto Rico	Guard	2001	Florida International
