Opponent	Played	Won	Lost	Drew	Premiership points	Points for	Points against	Percentage (%)
Richmond	2	2	0	0	8	242	158	153.16
Brisbane Lions	2	2	0	0	8	177	117	151.28
Sydney	1	1	0	0	4	142	69	205.80
Essendon	1	1	0	0	4	122	103	118.45
Port Adelaide	2	1	1	0	4	194	222	87.39
Adelaide	2	1	1	0	4	130	158	82.28
Collingwood	2	0	1	1	2	161	162	99.38
Western Bulldogs	1	0	1	0	0	66	70	94.29
Fremantle	1	0	1	0	0	71	82	86.59
North Melbourne	2	0	2	0	0	181	217	83.41
St Kilda	1	0	1	0	0	65	100	65.00
Hawthorn	2	0	2	0	0	139	216	64.35
West Coast	1	0	1	0	0	46	75	61.33
Carlton	1	0	1	0	0	58	166	59.41
Geelong	1	0	1	0	0	67	121	55.37
