Rank	Actor	Character	Soap Opera	Years	Duration
1	Lesley Saweard	Christine Barford	The Archers	1953—	61 years
2	Norman Painting	Phil Archer	The Archers	1950–2009	59 years
3	Patricia Greene	Jill Archer	The Archers	1957—	57 years
4	June Spencer	Peggy Woolley	The Archers	1951–1953, 1962—	54 years
5	William Roache	Ken Barlow	Coronation Street	1960—	54 years
6	Helen Wagner	Nancy Hughes	As the World Turns	1956–1981, 1983–2010	52 years
7	Eileen Derbyshire	Emily Bishop	Coronation Street	1961, 1962–1966, 1967—	52 years
8	Angela Piper	Jennifer Aldridge	The Archers	1963—	51 years
9	Don Hastings	Bob Hughes	As the World Turns	1960–2010	50 years
10	Eileen Fulton	Lisa Grimaldi	As the World Turns	1960–1965, 1965–1983, 1984–2010	50 years
