# [a ]	Manager	Years	Wins	Losses	WPct
1	Jim Manning	1901	61	73	.455
2	Tom Loftus	1902 – 1903	104	169	.381
3	Malachi Kittridge	1904	1	16	.059
4	Patsy Donovan	1904	37	97	.296
5	Jake Stahl	1905 – 1906	119	182	.395
6	Joe Cantillon	1907 – 1909	158	297	.347
7	Jimmy McAleer	1910 – 1911	130	175	.426
8	Clark Griffith †	1912 – 1920	693	646	.518
9	George McBride	1921	80	73	.523
10	Clyde Milan	1922	69	85	.448
11	Donie Bush	1923	75	78	.490
12	Bucky Harris ‡	1924 – 1928	429	334	.562
13	Walter Johnson †	1929 – 1932	350	264	.570
14	Joe Cronin †	1933 – 1934	165	139	.543
—	Bucky Harris ‡	1935 – 1942	558	663	.457
15	Ossie Bluege	1943 – 1947	375	394	.488
16	Joe Kuhel	1948 – 1949	106	201	.345
—	Bucky Harris ‡	1950 – 1954	349	419	.454
17	Chuck Dressen	1955 – 1957	116	212	.354
18	Cookie Lavagetto	1957 – 1961	271	384	.414
19	Sam Mele	1961 – 1967	522	431	.546
20	Cal Ermer	1967 – 1968	145	129	.529
21	Billy Martin	1969	97	65	.599
22	Bill Rigney	1970 – 1972	208	184	.531
23	Frank Quilici	1972 – 1975	280	287	.494
24	Gene Mauch	1976 – 1980	378	394	.490
25	Johnny Goryl	1980 – 1981	34	38	.472
26	Billy Gardner	1981 – 1985	268	353	.278
27	Ray Miller	1985 – 1986	109	130	.456
28	Tom Kelly § [b ]	1986 – 2001	1140	1244	.478
29	Ron Gardenhire [c ]	2002 –present	803	656	.550
