Event	Data	Athlete	Date	Place
1500 m	5:46.24	Roger Mills	29 August 1975	London , United Kingdom
Mile	5:58.4	Alex Wright	5 October 2011	Leeds , United Kingdom
3000 m	11:24.4	Mark Easton	10 May 1989	Tonbridge , United Kingdom
5000 m	19:27.39	Alex Wright	15 July 2013	Birmingham , United Kingdom
10000 m	40:06.65	Ian McCombie	4 June 1989	Jarrow , United Kingdom
15000 m	1:02:40.0+	Ian McCombie	15 May 1992	Fana , Norway
20000 m	1:23:26.5	Ian McCombie	26 May 1990	Fana , Norway
25000 m	1:55:00.8+	Ron Wallwork	31 July 1971	Blackburn , United Kingdom
30000 m	2:11:54	Chris Maddocks	31 December 1989	Plymouth , United Kingdom
35000 m	2:43:12+	Chris Maddocks	22 September 1984	Birmingham , United Kingdom
40000 m	3:10:48+	Chris Maddocks	22 September 1984	Birmingham , United Kingdom
50000 m	4:05:44.6	Paul Blagg	26 May 1990	Fana , Norway
100000 m	9:41:54+	Ed Shillabeer	15 September 1985	Colchester , United Kingdom
Hour walk	14324m+	Ian McCombie	7 July 1985	London , United Kingdom
2 Hours walk	27262m+	Chris Maddocks	31 December 1989	Plymouth , United Kingdom
24 hours walk	214.061km	Hew Neilson	15 October 1960	Walton-on-Thames , United Kingdom
