Tie no	Home team	Score	Away team	Attendance
3	AFC Wimbledon	0–2	Whyteleafe	529
4	AFC Hornchurch	3–0	Tilbury	182
5	Arlesey Town	4–0	Enfield Town	75
6	Ashford Town (Middx)	2–1	Walton & Hersham	93
7	Ashford Town (Kent)	1–3	Burgess Hill Town	110
8	Billericay Town	0–3	AFC Sudbury	202
9	Bury Town	2–3	Chelmsford City	206
10	Carshalton Athletic	4–0	Corinthian-Casuals	75
11	Dartford	3–0	Aveley	318
12	Dover Athletic	2–3	Eastbourne Town	151
13	Dulwich Hamlet	0–0	Tooting & Mitcham United	149
Tooting & Mitcham United advance 5–3 on penalties	Tooting & Mitcham United advance 5–3 on penalties	Tooting & Mitcham United advance 5–3 on penalties	Tooting & Mitcham United advance 5–3 on penalties	Tooting & Mitcham United advance 5–3 on penalties
14	Edgware Town	3–1	Staines Town	48
15	Great Wakering Rovers	4–1	Ilford	115
16	Harlow Town	1–3	Ware	131
17	Harrow Borough	0–5	Metropolitan Police	76
18	Hendon	2–3	Boreham Wood	101
19	Horsham	4–0	Hastings United	162
20	Horsham YMCA	4–3	Folkestone Invicta	50
21	Kingstonian	3–1	Cray Wanderers	179
22	Leatherhead	3–2	Croydon Athletic	67
23	Maidstone United	5–2	Canvey Island	131
24	Margate	2–3	East Thurrock United	174
25	Molesey	2–3	Wealdstone	106
26	Potters Bar Town	3–1	Leyton	41
27	Ramsgate	4–2	Chatham Town	87
28	Redbridge	2–1	Sittingbourne	41
29	Tonbridge Angels	4–1	Chipstead	159
30	Waltham Abbey	3–1	Wingate & Finchley	41
31	Walton Casuals	1–0	Northwood	34
32	Whitstable Town	4–3	Worthing	110
33	Witham Town	1–0	Maldon Town	87
34	Wivenhoe Town	0–2	Heybridge Swifts	44
