Tournament	1990	1991	1992	1993	1994	1995	1996
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	1R	1R	1R	A	2R	1R	2R
French Open	2R	QF	1R	2R	1R	1R	3R
Wimbledon	2R	2R	3R	3R	3R	1R	4R
US Open	3R	3R	2R	2R	A	2R	4R
Win–Loss	4–4	7–4	3–4	4–3	3–3	1–4	19–4
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	A	QF	2R	A	A	2R
Miami	QF	3R	SF	3R	A	A	3R
Monte Carlo	1R	A	1R	1R	A	A	A
Rome	1R	2R	2R	1R	A	A	1R
Hamburg	2R	A	A	A	A	A	1R
Canada	SF	QF	A	3R	2R	1R	1R
Cincinnati	QF	2R	1R	2R	A	A	2R
Stockholm	2R	3R	2R	2R	A	A	A
Paris	QF	2R	SF	1R	2R	QF	A
Win–Loss	16–8	6–6	12–7	6–8	2–2	3–2	3–6
Ranking	17	20	36	71	70	35	74
