Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	71	1:33:51.562	3
Rubens Barrichello	Ferrari	71	+0.182	1
Juan Pablo Montoya	Williams - BMW	71	+17.730	4
Ralf Schumacher	Williams - BMW	71	+18.448	2
Giancarlo Fisichella	Jordan - Honda	71	+49.965	15
David Coulthard	McLaren - Mercedes	71	+50.672	8
Jenson Button	Renault	71	+51.229	13
Mika Salo	Toyota	71	+1:09.425	10
Allan McNish	Toyota	71	+1:09.718	14
Jacques Villeneuve	BAR - Honda	70	Engine	17
Heinz-Harald Frentzen	Arrows - Cosworth	69	+2 Laps	11
Mark Webber	Minardi - Asiatech	69	+2 Laps	21
Jarno Trulli	Renault	44	Fuel pressure	16
Alex Yoong	Minardi - Asiatech	42	Engine	22
Eddie Irvine	Jaguar - Cosworth	38	Hydraulics	20
Nick Heidfeld	Sauber - Petronas	27	Collision	5
Takuma Sato	Jordan - Honda	26	Collision	18
Olivier Panis	BAR - Honda	22	Engine	9
Felipe Massa	Sauber - Petronas	7	Suspension	7
Kimi Räikkönen	McLaren - Mercedes	5	Engine	6
Enrique Bernoldi	Arrows - Cosworth	2	Collision	12
Pedro de la Rosa	Jaguar - Cosworth	0	Throttle	19
Source:	Source:	Source:	Source:	Source:
