Average population (x 1000)	Live births	Deaths	Natural change	Crude birth rate (per 1000)	Crude death rate (per 1000)	Natural change (per 1000)
2 520	60 392	35 201	25 191	24.0	14.0	10.0
2 530	58 399	37 688	20 711	23.1	14.9	8.2
2 540	59 680	39 716	19 964	23.5	15.6	7.9
2 550	58 780	35 137	23 643	23.1	13.8	9.3
2 560	63 034	32 049	30 985	24.6	12.5	12.1
2 567	60 719	30 870	29 849	23.7	12.0	11.6
2 569	58 504	29 693	28 811	22.8	11.6	11.2
2 576	56 944	28 166	28 778	22.1	10.9	11.2
2 590	52 610	27 118	25 492	20.3	10.5	9.8
2 607	54 229	25 559	28 670	20.8	9.8	11.0
2 629	55 525	24 138	31 387	21.1	9.2	11.9
2 653	53 741	21 869	31 872	20.3	8.2	12.0
2 681	56 223	23 361	32 862	21.0	8.7	12.3
2 711	61 190	22 103	39 087	22.6	8.2	14.4
2 744	62 241	24 688	37 553	22.7	9.0	13.7
2 782	62 485	21 611	40 874	22.5	7.8	14.7
2 828	62 775	23 365	39 410	22.2	8.3	13.9
2 865	59 728	24 925	34 803	20.8	8.7	12.1
2 893	57 024	23 112	33 912	19.7	8.0	11.7
2 928	55 856	21 830	34 026	19.1	7.5	11.6
2 967	53 818	23 467	30 351	18.1	7.9	10.2
3 006	54 275	23 799	30 476	18.1	7.9	10.1
3 045	53 806	24 571	29 235	17.7	8.1	9.6
3 083	54 258	25 725	28 533	17.6	8.3	9.3
3 115	54 263	27 156	27 107	17.4	8.7	8.7
3 144	55 519	28 048	27 471	17.7	8.9	8.7
3 179	56 044	26 972	29 072	17.6	8.5	9.1
3 214	54 616	29 252	25 364	17.0	9.1	7.9
3 244	51 944	29 160	22 784	16.0	9.0	7.0
3 274	51 941	29 612	22 329	15.9	9.0	6.8
3 302	51 766	31 265	20 501	15.7	9.5	6.2
3 329	52 296	31 972	20 324	15.7	9.6	6.1
3 355	52 166	32 932	19 234	15.5	9.8	5.7
3 379	51 821	34 008	17 813	15.3	10.1	5.3
3 398	51 937	34 897	17 040	15.3	10.3	5.0
3 413	51 765	35 871	15 894	15.2	10.5	4.7
3 433	52 249	35 579	16 670	15.2	10.4	4.9
3 457	53 141	35 040	18 101	15.4	10.1	5.2
3 485	57 589	36 451	21 138	16.5	10.5	6.1
3 514	57 576	38 666	18 910	16.4	11.0	5.4
3 545	58 454	39 169	19 285	16.5	11.0	5.4
3 579	59 705	35 788	23 917	16.7	10.0	6.7
3 616	59 360	36 917	22 443	16.4	10.2	6.2
3 655	56 727	37 649	19 078	15.5	10.3	5.2
3 684	55 782	38 150	17 632	15.1	10.3	4.8
3 698	56 868	39 760	17 108	15.3	10.7	4.6
3 704	56 219	41 013	15 206	15.2	11.1	4.1
3 700	53 617	41 455	12 162	14.5	11.2	3.3
3 683	47 464	46 107	1 357	12.9	12.5	0.4
3 657	42 376	46 486	−4 110	11.6	12.7	−1.1
3 629	41 195	45 306	−4 111	11.4	12.5	−1.1
3 602	39 066	42 896	−3 830	10.8	11.9	−1.1
3 575	37 812	41 143	−3 331	10.6	11.5	−0.9
3 549	37 508	40 793	−3 285	10.6	11.5	−0.9
3 524	36 415	40 003	−3 588	10.3	11.4	−1.1
3 500	34 149	38 919	−4 770	9.8	11.1	−1.3
3 471	31 546	40 399	−8 853	9.1	11.6	−2.5
3 443	30 014	41 072	−11 058	8.7	11.9	−3.2
3 415	30 598	40 990	−10 392	9.0	12.0	−3.0
3 377	30 419	41 340	−10 921	9.0	12.2	−3.2
3 323	30 541	43 799	−13 258	9.2	13.2	−3.9
3 270	31 265	44 813	−13 548	9.6	13.7	−4.1
3 231	32 346	45 624	−13 278	10.0	14.1	−4.1
3 198	35 065	43 832	−8 767	11.0	13.7	−2.7
3 163	36 682	42 032	−5 350	11.6	13.3	−1.7
3 097	35 626	42 120	−6 494	11.5	13.6	−2.1
3 028	34 385	41 037	−6 652	11.4	13.6	−2.2
2 988	30 459	40 938	−10 479	10.2	13.7	−3.5
