Grand Prix	Pole Position	Fastest Lap	Winning Driver	Constructor	Report
Australian Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
Malaysian Grand Prix	Michael Schumacher	Mika Häkkinen	Michael Schumacher	Ferrari	Report
Brazilian Grand Prix	Michael Schumacher	Ralf Schumacher	David Coulthard	McLaren - Mercedes	Report
San Marino Grand Prix	David Coulthard	Ralf Schumacher	Ralf Schumacher	Williams - BMW	Report
Spanish Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
Austrian Grand Prix	Michael Schumacher	David Coulthard	David Coulthard	McLaren - Mercedes	Report
Monaco Grand Prix	David Coulthard	David Coulthard	Michael Schumacher	Ferrari	Report
Canadian Grand Prix	Michael Schumacher	Ralf Schumacher	Ralf Schumacher	Williams - BMW	Report
European Grand Prix	Michael Schumacher	Juan Pablo Montoya	Michael Schumacher	Ferrari	Report
French Grand Prix	Ralf Schumacher	David Coulthard	Michael Schumacher	Ferrari	Report
British Grand Prix	Michael Schumacher	Mika Häkkinen	Mika Häkkinen	McLaren - Mercedes	Report
German Grand Prix	Juan Pablo Montoya	Juan Pablo Montoya	Ralf Schumacher	Williams - BMW	Report
Hungarian Grand Prix	Michael Schumacher	Mika Häkkinen	Michael Schumacher	Ferrari	Report
Belgian Grand Prix	Juan Pablo Montoya	Michael Schumacher	Michael Schumacher	Ferrari	Report
Italian Grand Prix	Juan Pablo Montoya	Ralf Schumacher	Juan Pablo Montoya	Williams - BMW	Report
United States Grand Prix	Michael Schumacher	Juan Pablo Montoya	Mika Häkkinen	McLaren - Mercedes	Report
Japanese Grand Prix	Michael Schumacher	Ralf Schumacher	Michael Schumacher	Ferrari	Report
