Date	Opponent	Venue	Result	Attendance
21 August 1954	Leicester City	A	1–1	38,941
23 August 1954	Burnley	H	1–0	30,239
28 August 1954	Bolton Wanderers	H	3–2	52,756
31 August 1954	Burnley	A	1–1	52,756
4 September 1954	Cardiff City	H	1–1	42,688
6 September 1954	Preston North End	H	0–1	36,947
11 September 1954	Manchester City	A	1–1	36,230
15 September 1954	Preston North End	A	2–1	27,549
18 September 1954	Everton	H	0–2	59,199
20 November 1954	Sheffield United	A	2–1	14,137
25 September 1954	Newcastle United	A	3–1	45,659
2 October 1954	West Bromwich Albion	H	3–3	67,440
9 October 1954	Huddersfield Town	A	0–1	29,556
16 October 1954	Manchester United	H	5–6	55,966
23 October 1954	Blackpool	A	0–1	19,694
30 October 1954	Charlton Athletic	H	1–2	54,113
6 November 1954	Sunderland	A	3–3	42,416
13 November 1954	Tottenham Hotspur	H	2–1	52,961
20 November 1954	Sheffield Wednesday	A	1–1	25,913
27 November 1954	Portsmouth	H	4–1	40,358
4 December 1954	Wolverhampton Wanderers	A	4–3	32,095
11 December 1954	Aston Villa	H	4–0	36,162
18 December 1954	Leicester City	H	3–1	33,215
25 December 1954	Arsenal	A	0–1	47,178
27 December 1954	Arsenal	H	1–1	65,922
1 January 1955	Bolton Wanderers	A	5–2	30,988
22 January 1955	Manchester City	H	0–2	34,160
5 February 1955	Everton	A	1–1	50,658
12 February 1955	Newcastle United	H	4–3	50,667
26 February 1955	Huddersfield Town	H	4–1	35,786
5 March 1955	Aston Villa	A	2–3	24,822
9 March 1955	West Bromwich Albion	A	4–2	7,764
12 March 1955	Blackpool	H	0–0	55,227
19 March 1955	Charlton Athletic	A	2–0	41,415
23 March 1955	Cardiff City	A	1–0	16,649
29 March 1955	Sunderland	H	2–1	33,203
2 April 1955	Tottenham Hotspur	A	4–2	53,159
8 April 1955	Sheffield United	H	1–1	50,978
9 April 1955	Wolverhampton Wanderers	H	1–0	75,043
16 April 1955	Portsmouth	A	0–0	40,230
23 April 1955	Sheffield Wednesday	H	3–0	51,421
30 April 1955	Manchester United	A	1–2	34,933
