Rnd	Date	Race Name	Length	Track	Location	Pole Position	Winning Driver
1	February 28	Rafaela Indy 300 Heat 1	mi (km)	Autódromo de Rafaela	Rafaela , Argentina	Lloyd Ruby	Al Unser
2	February 28	Rafaela Indy 300 Heat 2	mi (km)	Autódromo de Rafaela	Rafaela , Argentina	Al Unser	Al Unser
3	March 27	Phoenix 150	mi (km)	Phoenix International Raceway	Avondale , Arizona	Bobby Unser	Al Unser
4	April 25	Trenton 200	mi (km)	Trenton International Speedway	Trenton , New Jersey	Bobby Unser	Mike Mosley
5	May 29	International 500 Mile Sweepstakes	mi (km)	Indianapolis Motor Speedway	Speedway , Indiana	Peter Revson	Al Unser
6	June 6	Rex Mays Classic 150	mi (km)	Wisconsin State Fair Park Speedway	West Allis , Wisconsin	Bobby Unser	Al Unser
7	July 3	Pocono 500	mi (km)	Pocono International Raceway	Long Pond , Pennsylvania	Mark Donohue	Mark Donohue
8	July 18	Michigan 200	mi (km)	Michigan International Speedway	Brooklyn , Michigan	Bobby Unser	Mark Donohue
9	August 15	Tony Bettenhausen 200	mi (km)	Wisconsin State Fair Park Speedway	West Allis , Wisconsin	Bobby Unser	Bobby Unser
10	September 5	California 500	mi (km)	Ontario Motor Speedway	Ontario , California	Mark Donohue	Joe Leonard
11	October 3	Trenton 300	mi (km)	Trenton International Speedway	Trenton , New Jersey	Bobby Unser	Bobby Unser
